name,beta,corr,n
ESSITY-B.ST,0.011198885385631374,0.023918062142778182,778
AZN.ST,0.017017851496001275,0.03176258630898416,1255
TELIA.ST,0.05172282187199397,0.10117435794149215,1255
TEL2-B.ST,0.07282672771954006,0.12975713286241422,1255
SAAB-B.ST,0.10556726035646165,0.1337830728169996,1255
FABG.ST,0.11582337425854293,0.16456643530823478,1255
GC_F,0.11758286477511218,0.25987747858424776,1297
GETI-B.ST,0.12343685570384176,0.15897404954103608,1255
HOLM-B.ST,0.12929605685012727,0.23540111459057175,1255
CAST.ST,0.13436078765658957,0.18346616117128392,1255
SHB-A.ST,0.13566021106924964,0.23402346579285832,1255
SCA-B.ST,0.13642080019517666,0.21727820852210922,1255
ERIC-B.ST,0.1463122576281441,0.2019883325321427,1255
SECU-B.ST,0.150386759368372,0.22844393514569442,1255
NDA-SE.ST,0.15662610267298183,0.26554664323809385,1255
SWED-A.ST,0.15900754775597098,0.26733963869196303,1255
SEB-A.ST,0.16650974861923085,0.267104564347058,1255
ELUX-B.ST,0.1690222510470982,0.19861755553842106,1255
ASSA-B.ST,0.18382321940980773,0.3089999956608803,1255
HM-B.ST,0.18680733051482742,0.26342405156750787,1255
EVO.ST,0.18843696806842328,0.18708416110376125,997
INVE-B.ST,0.19129112983156488,0.35305602411554077,1255
EPI-A.ST,0.20221008686603828,0.3237293217250602,718
ABB.ST,0.2026751405098052,0.36127336981351554,1255
LATO-B.ST,0.20391549978278237,0.3014160955177537,1255
INDU-C.ST,0.20859216683975357,0.3618737249935337,1255
BEIJ-B.ST,0.20987580336346015,0.2561916329762927,1255
LIFCO-B.ST,0.21787797439973142,0.30493491615867085,997
THULE.ST,0.2201889783113096,0.26581311270771535,997
VOLV-B.ST,0.2231811004886516,0.3385505236532855,1255
SKF-B.ST,0.22433173624072525,0.31049126566396823,1255
TREL-B.ST,0.22675416015655356,0.3102091909580856,1255
ALFA.ST,0.22738463907965595,0.33445585676903666,1255
WMT,0.22743557918057533,0.38482741692806816,1297
ADDT-B.ST,0.23519474657303424,0.3093070277869518,1255
NIBE-B.ST,0.24113322282982066,0.28977138082800247,1255
HEXA-B.ST,0.24579583302158367,0.33472576268675924,1255
SAND.ST,0.25169307005366565,0.3491355723481597,1255
SINCH.ST,0.2579667479038275,0.1905121797805566,892
SSAB-B.ST,0.2654239930714237,0.2945881309405152,1255
BOL.ST,0.2759726563372775,0.32411220553014597,1255
LLY,0.2765231768624341,0.3900042476083022,1297
ATCO-A.ST,0.28576255110091753,0.3935462412783536,1255
KINV-B.ST,0.28844232297155387,0.34918465273971167,1255
SPY,0.4617069398990982,0.8304090223911718,1297
GOOGL,0.5195603970505838,0.658948112719426,1297
MSFT,0.555159918184718,0.7295582755153938,1297
AMZN,0.5659356760925763,0.6242598539771045,1297
QQQ,0.5742288283203316,0.8815109367749057,1297
