ma,mode,cagr,sharpe,maxdd,calmar,transitions,pct_in_base,delta_calmar
100,lly_only,0.1969,0.922,-0.2688,0.733,208,0.749,-0.335
150,lly_only,0.219,1.006,-0.302,0.725,180,0.785,-0.343
200,lly_only,0.228,1.045,-0.3395,0.672,158,0.807,-0.396
150,gold_lly,0.2063,1.003,-0.3151,0.655,180,0.785,-0.413
100,gold_lly,0.1988,0.982,-0.3109,0.639,208,0.749,-0.429
100,gold_only,0.1975,0.987,-0.3633,0.544,208,0.749,-0.524
200,gold_lly,0.2133,1.027,-0.3989,0.535,158,0.807,-0.533
150,gold_only,0.191,0.95,-0.3777,0.506,180,0.785,-0.562
50,gold_lly,0.1502,0.807,-0.3366,0.446,352,0.672,-0.622
50,lly_only,0.163,0.808,-0.375,0.435,352,0.672,-0.633
200,gold_only,0.1967,0.967,-0.4604,0.427,158,0.807,-0.641
50,gold_only,0.1339,0.742,-0.3394,0.394,352,0.672,-0.674
