year,oos,base_cagr,guard_cagr,base_maxdd,guard_maxdd,base_calmar,guard_calmar
2009,False,0.348,0.2909,-0.0944,-0.0738,3.688,3.941
2010,False,0.402,0.4017,-0.1049,-0.0797,3.832,5.038
2011,False,0.121,0.3312,-0.1673,-0.1098,0.724,3.015
2012,False,0.1471,0.3201,-0.1406,-0.0922,1.046,3.472
2013,False,0.2755,0.3161,-0.1043,-0.0866,2.642,3.649
2014,False,0.5602,0.5602,-0.139,-0.139,4.031,4.031
2015,False,0.2856,0.3684,-0.1615,-0.1246,1.768,2.956
2016,False,0.1445,0.2137,-0.1062,-0.1062,1.36,2.012
2017,False,0.344,0.344,-0.0576,-0.0576,5.97,5.97
2018,False,0.1069,0.3498,-0.1386,-0.0955,0.771,3.66
2019,False,0.2586,0.337,-0.1248,-0.1268,2.072,2.658
2020,True,0.4236,0.4822,-0.305,-0.1503,1.389,3.208
2021,True,0.4354,0.4354,-0.0933,-0.0933,4.667,4.667
2022,True,0.0002,0.1155,-0.1911,-0.1327,0.001,0.871
2023,True,0.7277,0.7277,-0.0862,-0.0862,8.445,8.445
2024,True,0.7633,0.7633,-0.1579,-0.1579,4.835,4.835
2025,True,0.5989,0.795,-0.2437,-0.185,2.457,4.296
2026,True,0.1561,0.1042,-0.1365,-0.1443,1.143,0.722
