assets,weights,is_calmar
SCA-B.ST/ROST/GC_F,40%/30%/30%,3.0307199702327865
SCA-B.ST/DPZ/ROST,50%/30%/20%,2.9860767845231306
SCA-B.ST/DPZ/AMZN,70%/20%/10%,2.967028810580598
SCA-B.ST/AMZN/MO,30%/30%/40%,2.942953653982431
SCA-B.ST/DPZ/ROST,40%/30%/30%,2.9223382363912305
SCA-B.ST/DPZ/AMZN,60%/20%/20%,2.914205291289485
SCA-B.ST/DPZ/SHW,60%/30%/10%,2.9130957925625216
SCA-B.ST/DPZ/MO,50%/30%/20%,2.9049833299866745
SCA-B.ST/DPZ/MO,40%/30%/30%,2.901662820881835
SCA-B.ST/ROST/GC_F,50%/20%/30%,2.8825474684911225
SCA-B.ST/DPZ/AMZN,60%/30%/10%,2.874810137136984
SCA-B.ST/DPZ/MO,40%/20%/40%,2.8740658280856555
SCA-B.ST/AMZN/MO,20%/30%/50%,2.840773566538429
SCA-B.ST/DPZ/MO,50%/20%/30%,2.829605738748817
SCA-B.ST/AMZN/MO,30%/20%/50%,2.817816878273087
SCA-B.ST/MO/MCD,30%/40%/30%,2.8172899746069358
SCA-B.ST/DPZ/TJX,60%/20%/20%,2.8169251950794028
SCA-B.ST/DPZ/ROST,30%/30%/40%,2.814987187816067
SCA-B.ST/DPZ/NI,60%/20%/20%,2.811102727705097
SCA-B.ST/DPZ/ALGN,60%/30%/10%,2.8103018395081416
SCA-B.ST/DPZ/TJX,50%/20%/30%,2.7893525579676544
SCA-B.ST/NI/AMZN,40%/30%/30%,2.7874517636918563
SCA-B.ST/DPZ/ROST,60%/30%/10%,2.784874002391871
SCA-B.ST/AMZN/MO,40%/30%/30%,2.7832831189972884
SCA-B.ST/DPZ/NI,50%/20%/30%,2.781997446258068
SCA-B.ST/MO/MCD,30%/30%/40%,2.77704078462846
SCA-B.ST/AMZN/MO,40%/20%/40%,2.7708937109423597
SCA-B.ST/DPZ/TJX,50%/30%/20%,2.770800463868565
SCA-B.ST/DPZ/MO,60%/20%/20%,2.770758544402306
SCA-B.ST/MO/MCD,40%/30%/30%,2.7688802664282863
SCA-B.ST/DPZ/ROST,40%/20%/40%,2.759802078616715
SCA-B.ST/DPZ/AOS,70%/20%/10%,2.7562442126352216
SCA-B.ST/DPZ/MO,30%/30%/40%,2.7560578318522717
SCA-B.ST/DPZ/ROST,50%/20%/30%,2.7546002447462006
SCA-B.ST/DPZ/XEL,50%/30%/20%,2.754059108599107
SCA-B.ST/DPZ/BF_B,50%/30%/20%,2.752511259632997
SCA-B.ST/DPZ/TJX,40%/20%/40%,2.7513553835331663
SCA-B.ST/DPZ/SHW,50%/30%/20%,2.7501916781502773
SCA-B.ST/DPZ/AMZN,50%/20%/30%,2.7453972856726554
SCA-B.ST/DPZ/AMT,30%/40%/30%,2.7425132948127233
SCA-B.ST/DPZ/MKC,50%/30%/20%,2.741213724197946
SCA-B.ST/DPZ/NI,70%/20%/10%,2.740457731011825
SCA-B.ST/DPZ/TJX,70%/20%/10%,2.7390457208895627
SCA-B.ST/DPZ/EXR,50%/30%/20%,2.7373776389257896
SCA-B.ST/DPZ/AOS,50%/30%/20%,2.7316709865578512
SCA-B.ST/DPZ/ROST,60%/20%/20%,2.7296340761689866
SCA-B.ST/DPZ/ACGL,50%/30%/20%,2.72906559520462
SCA-B.ST/DPZ/IT,50%/20%/30%,2.728704777106024
SCA-B.ST/DPZ/AMT,50%/30%/20%,2.7279508958350034
SCA-B.ST/MO/MCD,20%/40%/40%,2.727023541985422
SCA-B.ST/DPZ/EXR,70%/20%/10%,2.7203269123162
SCA-B.ST/DPZ/CMS,50%/30%/20%,2.7190050331016673
SCA-B.ST/DPZ/IT,40%/30%/30%,2.7169319987510274
SCA-B.ST/DPZ/AOS,60%/30%/10%,2.7154950835699787
SCA-B.ST/DPZ/LLY,40%/30%/30%,2.711978648787783
SCA-B.ST/DPZ/MO,70%/20%/10%,2.7111403195288446
SCA-B.ST/DPZ/IT,60%/20%/20%,2.707953757745912
SCA-B.ST/NI/AMZN,60%/20%/20%,2.7074577421087525
SCA-B.ST/MO/MCD,20%/50%/30%,2.707082781838491
SCA-B.ST/DPZ/TJX,60%/10%/30%,2.7055882756553595
SCA-B.ST/DPZ/CMS,60%/30%/10%,2.703210147290248
SCA-B.ST/DPZ/ATO,60%/30%/10%,2.702423663129695
