holdback,terminal,cagr,n_deploys,deployed_kr,pct_days_cash,vs_pure_dca,dataset
0.0,136557248.13460556,0.3269856692282307,0,0.0,0.0,0.0,AVGO_actual
0.25,135297141.70653167,0.3262634785977956,30,306181.8203386285,0.9257009345794392,-0.00922767883277631,AVGO_actual
0.5,137498227.92777887,0.32752088284650904,30,612363.640677257,0.9257009345794392,0.00689073488245584,AVGO_actual
0.75,142507710.34943244,0.33031342373076145,30,918545.4610158857,0.9257009345794392,0.04357485447393805,AVGO_actual
1.0,135091601.97497535,0.3261450797377716,30,1224727.281354514,0.9257009345794392,-0.010732833149841414,AVGO_actual
0.0,55830299.07196623,0.163128796510148,0,0.0,0.0,0.0,TXN_analog
0.25,55032696.58523044,0.16248434637502762,40,476552.4578796399,0.9433092640958672,-0.01428619405580589,TXN_analog
0.5,53792028.86357349,0.16146383557260413,40,953104.9157592797,0.9433092640958672,-0.03650831613431582,TXN_analog
0.75,54351317.72822497,0.16192665002738482,40,1429657.3736389193,0.9433092640958672,-0.026490657731115252,TXN_analog
1.0,54447069.837921605,0.16200542602447254,40,1906209.8315185595,0.9433092640958672,-0.024775601367666322,TXN_analog
