signal,type,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d,confidence
gold_mom63d=MID + hy_oas=TIGHT,macro_x_momentum,False,THIN,70,0.0395,0.8,0.0314,65,0.1897,1.0,0.1618,44,0.6703,1.0,0.5569,0.9079
gold_mom21d=MID + hy_oas=TIGHT,macro_x_momentum,False,THIN,55,0.0449,0.7273,0.0368,47,0.1756,1.0,0.1477,22,0.6716,1.0,0.5582,0.8985
gold_dd60=MID + hy_oas=TIGHT,macro_x_drawdown,False,THIN,60,0.0372,0.7667,0.0291,60,0.1558,0.95,0.1279,26,0.6221,1.0,0.5087,0.8653
gold_mom21d=LOW + hy_oas=TIGHT,macro_x_momentum,True,THIN,44,-0.0066,0.4318,-0.0147,27,0.1182,1.0,0.0903,22,0.5892,1.0,0.4758,0.8602
gold_mom63d=MID + hy_oas=MID,macro_x_momentum,False,THIN,52,0.0404,0.8654,0.0323,48,0.1366,0.9375,0.1087,32,0.4036,1.0,0.2902,0.8475
gold_mom63d=MID + hy_oas=WIDE,macro_x_momentum,False,THIN,97,0.0247,0.8866,0.0166,95,0.0729,1.0,0.045,95,0.372,1.0,0.2586,0.83
hy_oas=TIGHT,macro_single,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322,0.8255
gold_dd60=DEEP + hy_oas=MID,macro_x_drawdown,False,THIN,42,0.0498,0.7619,0.0417,33,0.1968,0.7576,0.1689,9,0.4406,1.0,0.3272,0.8157
gold_mom21d=MID + hy_oas=MID,macro_x_momentum,False,THIN,103,0.0225,0.6893,0.0144,103,0.0921,0.932,0.0642,72,0.4236,1.0,0.3102,0.8156
gold_mom21d=LOW + hy_oas=MID,macro_x_momentum,False,THIN,39,0.028,0.6923,0.0199,30,0.1127,0.8667,0.0848,17,0.4279,1.0,0.3145,0.8032
gold_dd60=MID + hy_oas=MID,macro_x_drawdown,False,THIN,99,0.014,0.6768,0.0059,99,0.0971,0.8889,0.0692,63,0.4176,1.0,0.3042,0.8017
GSR=p90+ (GSR extreme high),gsr,False,MODERATE,648,0.0342,0.7824,0.0261,648,0.0939,0.9012,0.066,586,0.2833,0.9846,0.1699,0.7983
gold_mom21d=MID + ry=HIGH,macro_x_momentum,False,ROBUST,588,0.0264,0.7466,0.0183,580,0.0853,0.8948,0.0574,522,0.3013,0.9981,0.1879,0.7954
gold_mom21d=HIGH + hy_oas=TIGHT,macro_x_momentum,False,THIN,132,0.0417,0.7803,0.0336,127,0.1207,0.8189,0.0928,48,0.6931,1.0,0.5797,0.7895
gold_mom21d=MID + hy_oas=WIDE,macro_x_momentum,False,THIN,124,0.0093,0.6371,0.0012,124,0.0588,0.9194,0.0309,122,0.3384,1.0,0.225,0.7884
gold_dd60=MID + hy_oas=WIDE,macro_x_drawdown,False,THIN,117,0.0049,0.641,-0.0032,117,0.0508,0.9145,0.0229,116,0.3505,1.0,0.2371,0.7811
hy_oas=MID,macro_single,False,THIN,269,0.0245,0.7063,0.0164,259,0.0743,0.8726,0.0464,177,0.4098,1.0,0.2964,0.78
GSR=p85+ (GSR extreme high),gsr,False,ROBUST,972,0.0235,0.7233,0.0154,972,0.0762,0.8807,0.0483,896,0.2724,0.9888,0.159,0.78
gold_mom63d=HIGH + hy_oas=TIGHT,macro_x_momentum,False,THIN,130,0.0372,0.7538,0.0291,129,0.1028,0.8217,0.0749,42,0.5832,1.0,0.4698,0.7786
gold_mom63d=MID + ry=HIGH,macro_x_momentum,False,ROBUST,602,0.0244,0.7209,0.0163,591,0.0788,0.8579,0.0509,554,0.309,1.0,0.1956,0.7771
gold_dd60=MID + ry=HIGH,macro_x_drawdown,False,ROBUST,629,0.0209,0.7218,0.0128,629,0.0883,0.8569,0.0604,559,0.3165,0.9821,0.2031,0.7759
gold_mom21d=HIGH + hy_oas=WIDE,macro_x_momentum,False,THIN,75,0.0188,0.6933,0.0107,75,0.0342,0.92,0.0063,75,0.3914,1.0,0.278,0.7722
gold_mom63d=HIGH + hy_oas=WIDE,macro_x_momentum,False,THIN,77,0.0056,0.6234,-0.0025,76,0.057,0.8816,0.0291,73,0.4048,1.0,0.2914,0.772
hy_oas=WIDE,macro_single,False,THIN,264,0.0119,0.6818,0.0038,261,0.0508,0.8851,0.0229,258,0.3606,1.0,0.2472,0.7693
gold_mom63d=HIGH + hy_oas=MID,macro_x_momentum,False,THIN,197,0.0201,0.6548,0.012,193,0.0636,0.8601,0.0357,133,0.4115,1.0,0.2981,0.7679
gold_dd60=DEEP + hy_oas=TIGHT,macro_x_drawdown,True,THIN,65,-0.0128,0.4769,-0.0209,35,0.1182,0.7429,0.0903,22,0.6105,1.0,0.4971,0.7574
gold_mom21d=LOW + ry=HIGH,macro_x_momentum,True,ROBUST,519,0.0221,0.6705,0.014,490,0.0669,0.8367,0.039,471,0.2883,0.9915,0.1749,0.7573
gold_mom21d=HIGH + hy_oas=MID,macro_x_momentum,False,THIN,110,0.026,0.7182,0.0179,110,0.0613,0.8273,0.0334,77,0.3945,1.0,0.2811,0.7532
gold_mom63d=LOW + ry=HIGH,macro_x_momentum,True,ROBUST,444,0.018,0.6441,0.0099,419,0.056,0.8353,0.0281,417,0.2895,1.0,0.1761,0.7529
ry=HIGH,macro_single,True,ROBUST,2012,0.0197,0.659,0.0116,1969,0.0664,0.8095,0.0385,1780,0.2718,0.9764,0.1584,0.74
gold_mom21d=LOW + hy_oas=WIDE,macro_x_momentum,False,THIN,51,0.0162,0.8235,0.0081,48,0.0526,0.7708,0.0247,47,0.3278,1.0,0.2144,0.7248
gold_dd60=DEEP + ry=HIGH,macro_x_drawdown,True,ROBUST,558,0.0204,0.6165,0.0123,516,0.0531,0.7636,0.0252,480,0.2145,0.9896,0.1011,0.7181
gold_mom63d=LOW + hy_oas=WIDE,macro_x_momentum,False,THIN,76,0.001,0.5132,-0.0071,76,0.0354,0.7632,0.0075,76,0.2895,1.0,0.1761,0.7103
nominal_10y=HIGH,macro_single,True,ROBUST,2108,0.0157,0.6371,0.0076,2065,0.0482,0.7632,0.0203,1941,0.1957,0.9784,0.0823,0.7102
gold_mom63d=HIGH + ry=HIGH,macro_x_momentum,False,ROBUST,874,0.0155,0.619,0.0074,868,0.0636,0.7673,0.0357,730,0.2126,0.9452,0.0992,0.7088
t10y3m=LOW,macro_single,True,ROBUST,2185,0.0156,0.6366,0.0075,2164,0.0547,0.7505,0.0268,1963,0.2418,0.9485,0.1284,0.6975
gold_mom63d=HIGH + baa10y=TIGHT,macro_x_momentum,False,MODERATE,798,0.0151,0.6028,0.007,792,0.0624,0.7437,0.0345,642,0.2659,0.9299,0.1525,0.6925
usd=STRONG,macro_single,True,ROBUST,1774,0.0151,0.6381,0.007,1731,0.0563,0.7614,0.0284,1530,0.2019,0.919,0.0885,0.6911
gold_mom21d=HIGH + ry=HIGH,macro_x_momentum,False,ROBUST,813,0.0104,0.583,0.0023,808,0.0496,0.7351,0.0217,708,0.227,0.9506,0.1136,0.6888
t10y2y=LOW,macro_single,True,ROBUST,2124,0.01,0.5989,0.0019,2119,0.0474,0.7154,0.0195,2114,0.2444,0.964,0.131,0.6848
gold_mom21d=HIGH + baa10y=TIGHT,macro_x_momentum,False,ROBUST,759,0.0115,0.5916,0.0034,754,0.051,0.7321,0.0231,642,0.2467,0.8676,0.1333,0.6553
se_10y=HIGH,macro_single,False,ROBUST,2140,0.0135,0.6019,0.0054,2140,0.0306,0.6654,0.0027,2140,0.1483,0.9383,0.0349,0.6433
gold_mom21d=MID + baa10y=TIGHT,macro_x_momentum,False,ROBUST,800,0.0125,0.615,0.0044,792,0.0498,0.7639,0.0219,734,0.2539,0.8052,0.1405,0.6422
baa10y=TIGHT,macro_single,True,ROBUST,2285,0.0121,0.6114,0.004,2242,0.0453,0.74,0.0174,2041,0.2425,0.8344,0.1291,0.6414
