condition,active,diversity,n_21d,med_21d,wr_21d,lift_21d,n_63d,med_63d,wr_63d,lift_63d,n_252d,med_252d,wr_252d,lift_252d
ry=HIGH + baa10y=MID + t10y3m=MID,False,THIN,33,0.1042,0.8788,0.0961,33,0.1694,1.0,0.1415,33,0.03,0.6364,-0.0834
breakeven=HIGH + hy_oas=TIGHT,False,THIN,155,0.0367,0.7226,0.0286,125,0.1657,0.904,0.1378,61,0.7044,1.0,0.591
nominal_10y=MID + hy_oas=TIGHT,False,THIN,34,0.0534,0.7647,0.0453,34,0.1566,0.8529,0.1287,4,0.5775,1.0,0.4641
hy_oas=TIGHT + t10y2y=MID,False,THIN,138,0.0531,0.7101,0.045,112,0.1542,0.7768,0.1263,0,,,
ry=HIGH + baa10y=MID + usd=WEAK,False,THIN,45,0.0965,0.9111,0.0884,45,0.1465,1.0,0.1186,45,0.0465,0.7333,-0.0669
ry=MID + baa10y=WIDE + usd=STRONG,False,THIN,20,0.1127,1.0,0.1046,20,0.1448,1.0,0.1169,20,0.0954,1.0,-0.018
ry=HIGH + baa10y=MID + t10y3m=LOW,False,ROBUST,15,0.0583,1.0,0.0502,15,0.1433,1.0,0.1154,15,0.1466,1.0,0.0332
baa10y=TIGHT + hy_oas=TIGHT,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
hy_oas=TIGHT + se_10y=MID,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
hy_oas=TIGHT + usd=STRONG,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
hy_oas=TIGHT + t10y3m=LOW,True,THIN,226,0.0391,0.7743,0.031,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
hy_oas=TIGHT,True,THIN,246,0.0346,0.7154,0.0265,216,0.1383,0.8796,0.1104,100,0.6456,1.0,0.5322
ry=HIGH + baa10y=TIGHT + hy_oas=TIGHT,True,THIN,238,0.0333,0.7059,0.0252,208,0.1356,0.875,0.1077,100,0.6456,1.0,0.5322
ry=HIGH + hy_oas=TIGHT,True,THIN,238,0.0333,0.7059,0.0252,208,0.1356,0.875,0.1077,100,0.6456,1.0,0.5322
nominal_10y=HIGH + hy_oas=TIGHT,True,THIN,212,0.0327,0.7075,0.0246,182,0.1353,0.8846,0.1074,96,0.6612,1.0,0.5478
hy_oas=TIGHT + t10y2y=LOW,True,THIN,108,0.0257,0.7222,0.0176,104,0.1259,0.9904,0.098,100,0.6456,1.0,0.5322
hy_oas=MID + t10y2y=MID,False,THIN,107,0.0108,0.5981,0.0027,98,0.1236,0.7449,0.0957,16,0.3374,1.0,0.224
baa10y=WIDE + usd=STRONG,False,THIN,119,0.047,0.8067,0.0389,119,0.1189,0.9664,0.091,119,0.0574,0.8571,-0.056
nominal_10y=HIGH + usd=WEAK,False,THIN,202,0.0205,0.6733,0.0124,202,0.1157,0.7178,0.0878,202,0.2693,0.896,0.1559
ry=HIGH + baa10y=MID + t10y2y=MID,False,THIN,52,0.0583,0.9231,0.0502,52,0.1113,0.9615,0.0834,52,0.0767,0.7692,-0.0367
baa10y=TIGHT + usd=WEAK,False,THIN,156,0.014,0.6154,0.0059,156,0.1054,0.6923,0.0775,156,0.3301,0.9231,0.2167
t10y3m=LOW + usd=WEAK,False,THIN,166,0.0154,0.6446,0.0073,166,0.1054,0.7108,0.0775,166,0.3167,0.8976,0.2033
ry=HIGH + baa10y=TIGHT + usd=WEAK,False,THIN,156,0.014,0.6154,0.0059,156,0.1054,0.6923,0.0775,156,0.3301,0.9231,0.2167
ry=HIGH + usd=WEAK,False,THIN,287,0.0156,0.6167,0.0075,287,0.1052,0.7143,0.0773,287,0.2572,0.9164,0.1438
ry=HIGH + baa10y=TIGHT + nominal_10y=MID,False,THIN,150,0.0213,0.6667,0.0132,150,0.0994,0.84,0.0715,85,0.36,1.0,0.2466
ry=HIGH + t10y3m=MID,False,ROBUST,175,0.0125,0.6171,0.0044,153,0.0963,0.8431,0.0684,153,0.3024,0.915,0.189
