ticker,port_cagr,port_sharpe,port_maxdd,port_calmar,port_years,port_start,asset_sharpe,asset_cagr,asset_maxdd,asset_years
GILD,0.2961,1.235,-0.2772,1.068,16.9,2009-08-06,0.65,0.2001,-0.5346,26.5
LLY,0.3242,1.327,-0.305,1.063,16.9,2009-08-06,0.618,0.3036,-0.6826,26.5
CASY,0.3184,1.304,-0.3104,1.026,16.9,2009-08-06,0.691,0.2873,-0.4057,26.5
COST,0.3114,1.288,-0.3101,1.004,16.9,2009-08-06,0.626,0.2962,-0.5339,26.5
WMT,0.2972,1.266,-0.2987,0.995,16.9,2009-08-06,0.461,0.1979,-0.3664,26.5
WEC,0.296,1.271,-0.3004,0.985,16.9,2009-08-06,0.731,0.1965,-0.3231,26.5
ROL,0.3039,1.252,-0.3158,0.962,16.9,2009-08-06,0.696,0.1542,-0.3737,26.5
COR,0.3091,1.282,-0.3218,0.96,16.9,2009-08-06,0.761,0.2379,-0.4934,26.5
DLR,0.2949,1.205,-0.3088,0.955,16.9,2009-08-06,0.68,0.2752,-0.568,21.7
MNST,0.3206,1.291,-0.3364,0.953,16.9,2009-08-06,0.884,0.1876,-0.6917,26.5
AWK,0.2973,1.265,-0.3127,0.951,16.9,2009-08-06,0.658,0.307,-0.371,18.2
PGR,0.3107,1.292,-0.3266,0.951,16.9,2009-08-06,0.716,0.2261,-0.6459,26.5
ODFL,0.322,1.264,-0.3434,0.938,16.9,2009-08-06,0.771,0.2258,-0.5086,26.5
FTNT,0.3412,1.269,-0.3642,0.937,16.6,2009-11-18,0.859,0.3498,-0.512,16.6
NOC,0.3058,1.279,-0.3267,0.936,16.9,2009-08-06,0.661,0.2649,-0.5868,26.5
FAST,0.3036,1.231,-0.3245,0.936,16.9,2009-08-06,0.637,0.1559,-0.5197,26.5
TMO,0.2986,1.217,-0.3191,0.936,16.9,2009-08-06,0.63,0.2639,-0.5391,26.5
WST,0.31,1.247,-0.3321,0.933,16.9,2009-08-06,0.663,0.2464,-0.5929,26.5
CHD,0.2953,1.267,-0.317,0.931,16.9,2009-08-06,0.675,0.1894,-0.4557,26.5
ATO,0.2971,1.26,-0.3215,0.924,16.9,2009-08-06,0.647,0.2148,-0.3291,26.5
DVA,0.2985,1.238,-0.3251,0.918,16.9,2009-08-06,0.651,0.2245,-0.6435,26.5
MCK,0.3068,1.272,-0.3341,0.918,16.9,2009-08-06,0.617,0.2852,-0.5767,26.5
LII,0.3076,1.228,-0.3418,0.9,16.9,2009-08-06,0.669,0.2693,-0.5346,26.5
EW,0.3085,1.233,-0.3437,0.898,16.9,2009-08-06,0.653,0.1869,-0.5432,26.2
WM,0.2989,1.263,-0.333,0.897,16.9,2009-08-06,0.615,0.2267,-0.4159,26.5
DHR,0.3036,1.23,-0.3395,0.894,16.9,2009-08-06,0.63,0.2189,-0.4569,26.5
PSA,0.2933,1.231,-0.33,0.889,16.9,2009-08-06,0.627,0.2432,-0.558,26.5
ORLY,0.3171,1.301,-0.3566,0.889,16.9,2009-08-06,0.728,0.1842,-0.5698,26.5
IDXX,0.31,1.231,-0.3502,0.885,16.9,2009-08-06,0.725,0.2691,-0.5728,26.5
GWW,0.3077,1.251,-0.3493,0.881,16.9,2009-08-06,0.653,0.3127,-0.5563,26.5
AZO,0.3088,1.281,-0.3514,0.879,16.9,2009-08-06,0.768,0.3546,-0.4214,26.5
MO,0.2996,1.276,-0.3414,0.877,16.9,2009-08-06,0.769,0.1754,-0.5369,26.5
BALL,0.2895,1.198,-0.3301,0.877,16.9,2009-08-06,0.612,0.168,-0.5509,26.5
LMT,0.2985,1.26,-0.3408,0.876,16.9,2009-08-06,0.708,0.2638,-0.5057,26.5
V,0.3078,1.245,-0.3514,0.876,16.9,2009-08-06,0.776,0.3742,-0.519,18.3
APH,0.317,1.228,-0.3628,0.874,16.9,2009-08-06,0.739,0.2121,-0.6341,26.5
RSG,0.2989,1.258,-0.3425,0.873,16.9,2009-08-06,0.674,0.2246,-0.5413,26.5
MA,0.3115,1.244,-0.3577,0.871,16.9,2009-08-06,0.898,0.3619,-0.6267,20.1
NEE,0.2972,1.249,-0.3416,0.87,16.9,2009-08-06,0.699,0.1841,-0.4781,26.5
SO,0.2899,1.25,-0.3337,0.869,16.9,2009-08-06,0.683,0.1881,-0.3843,26.5
VRSK,0.2928,1.227,-0.338,0.866,16.7,2009-10-07,0.625,0.3645,-0.5081,16.7
JBHT,0.2993,1.218,-0.3465,0.864,16.9,2009-08-06,0.673,0.2353,-0.5308,26.5
SHW,0.3067,1.245,-0.3572,0.858,16.9,2009-08-06,0.72,0.2454,-0.4246,26.5
BRO,0.2923,1.225,-0.3411,0.857,16.9,2009-08-06,0.65,0.1686,-0.5585,26.5
