ticker,date,drift,return,stopped,days_to_stop,bucket
AAPL,2008-01-22,-0.12496728914355704,-0.04985689995165356,False,,0
TSCO,2011-08-05,-0.09814967087382509,0.008360546803672955,True,9.0,0
RCL,2008-10-23,-0.08633526947892756,-0.07817816269201798,True,5.0,0
F,2011-08-05,-0.07564555594467948,0.035927926510373936,True,8.0,0
ULTA,2011-08-05,-0.06791978081847916,0.014269345626887708,True,7.0,0
LULU,2011-08-05,-0.06664177179693254,0.05139999389648438,True,7.0,0
CVNA,2025-04-03,-0.06485509648902654,0.15194118724149816,True,10.0,0
DELL,2025-02-27,-0.0637114329479741,-0.03357760783268273,False,,0
LVS,2011-08-05,-0.06161906433852604,0.03257808365982519,True,10.0,0
CMI,2011-08-05,-0.06048108527333229,-0.03433112256984607,True,8.0,0
PLTR,2025-02-21,-0.053971399142150434,-0.08896536320032898,False,,0
SYF,2025-04-03,-0.04746570162971142,0.04013529879155105,True,5.0,0
AMD,2018-02-05,-0.04580810258865298,0.13496374785023754,False,,0
CTSH,2008-01-22,-0.04370079872692634,0.12391911060098008,True,10.0,0
NVDA,2018-02-05,-0.04351928221248935,0.2045644120856682,False,,0
ETN,2011-08-05,-0.039669106688432265,0.03516077232182603,False,,0
AXON,2008-10-07,-0.03839725392733928,-0.20486115595256663,False,,0
GPN,2020-02-27,-0.03809523553737104,-0.06789265331133247,True,6.0,0
VRTX,2018-10-24,-0.037341323653434566,0.04828026643983877,True,14.0,0
FTNT,2022-10-12,-0.03629952360989852,-0.011407636455894923,True,15.0,0
XYZ,2022-05-11,-0.034119633017773654,0.10306725168672391,True,8.0,0
ZBRA,2020-02-27,-0.03374929280185701,-0.13221421771266986,False,,0
WYNN,2008-09-26,-0.0326003600645397,-0.36240849175258083,False,,0
UBER,2025-04-04,-0.03249771277562252,0.2528790988088956,False,,0
ANET,2020-02-27,-0.03193911586538145,-0.12047483792890715,False,,0
FIX,2020-02-27,-0.03119941053905373,-0.21680306379910746,False,,0
VTR,2008-10-07,-0.03044050224047057,-0.12921609616161964,False,,0
FTNT,2022-01-05,-0.029655062712985125,-0.01983088205338983,True,10.0,0
ICE,2025-04-04,-0.028135909195103004,0.07319643675114171,False,,0
PANW,2022-10-12,-0.028072890856280286,-0.008280887878577439,True,15.0,0
GOOG,2018-02-05,-0.027107477273657254,0.08869927120240406,False,,0
TYL,2008-10-03,-0.026912189626117078,-0.1783114883608004,False,,0
GOOGL,2018-02-05,-0.02674161733489422,0.08078481546078595,False,,0
BKNG,2008-09-26,-0.02666680976179603,-0.16835600470707038,False,,0
NVDA,2022-01-20,-0.026625339165986195,0.018802996528209666,True,15.0,0
TYL,2022-10-12,-0.025872285211905877,-0.0169555570469914,True,13.0,0
NFLX,2018-02-05,-0.02580036663161689,0.17323376208763885,False,,0
AAPL,2022-05-11,-0.025460867037697454,0.05911595387638958,False,,0
REGN,2018-10-24,-0.025072003116972108,-0.0027146469000653103,False,,0
EOG,2008-01-22,-0.024443059265987888,0.23004190658287582,False,,0
CTSH,2008-11-11,-0.023770116601280367,-0.006795000709938364,True,12.0,0
MPWR,2018-02-05,-0.023644255792991897,0.10874252099176906,False,,0
FTNT,2022-03-07,-0.023337969527589375,0.22107039407857978,False,,0
ADBE,2008-01-22,-0.023235321044921875,-0.013550158848087747,True,10.0,0
NXPI,2014-10-14,-0.023152716508173632,0.3273021844054913,False,,0
MRNA,2022-05-11,-0.02292799014872904,0.08499177246336388,True,9.0,0
WYNN,2016-02-08,-0.022619053051036286,0.4799390713067349,False,,0
GLW,2018-02-05,-0.022162476590117386,0.013326466142921378,False,,0
MU,2014-10-14,-0.021540747360795143,0.25783574377511476,False,,0
TPL,2014-10-14,-0.019999880265533565,0.08600593343325826,True,14.0,0
ODFL,2020-02-27,-0.01897054192513048,-0.1314845789671312,False,,0
