n_trades,median_return,win_rate,stopped_pct,false_stop_pct_of_stopped,protection_pct_of_stopped,calmar_like,hard_stop_pct,trailing_trigger,trailing_pct,population
953,-0.0505,0.425,0.507,0.555,0.416,-0.805,0.05,,,solo_crash
953,-0.0037,0.493,0.353,0.586,0.369,-0.042,0.08,,,solo_crash
953,0.0029,0.507,0.274,0.575,0.383,0.028,0.1,,,solo_crash
953,0.0086,0.533,0.15,0.476,0.448,0.119,0.15,,,solo_crash
953,0.0113,0.541,0.083,0.443,0.481,0.17,0.2,,,solo_crash
953,0.0116,0.546,0.0,0.0,0.0,0.177,,,,solo_crash
953,0.0203,0.626,0.45,0.501,0.436,0.321,,0.05,0.03,solo_crash
953,0.0121,0.567,0.343,0.498,0.425,0.222,,0.05,0.05,solo_crash
953,0.0186,0.582,0.236,0.458,0.431,0.286,,0.08,0.05,solo_crash
953,0.0113,0.548,0.165,0.503,0.363,0.191,,0.08,0.08,solo_crash
299,0.0171,0.528,0.425,0.575,0.417,0.238,0.05,,,basket_crash
299,0.0381,0.602,0.318,0.495,0.484,0.398,0.08,,,basket_crash
299,0.0403,0.629,0.264,0.468,0.519,0.372,0.1,,,basket_crash
299,0.0417,0.652,0.184,0.545,0.4,0.273,0.15,,,basket_crash
299,0.0418,0.659,0.127,0.553,0.395,0.368,0.2,,,basket_crash
299,0.0431,0.666,0.0,0.0,0.0,0.443,,,,basket_crash
299,0.0303,0.702,0.599,0.648,0.296,0.42,,0.05,0.03,basket_crash
299,0.0232,0.642,0.472,0.61,0.333,0.45,,0.05,0.05,basket_crash
299,0.0388,0.706,0.358,0.579,0.346,0.409,,0.08,0.05,basket_crash
299,0.0321,0.642,0.237,0.535,0.352,0.481,,0.08,0.08,basket_crash
