ticker,type,signal,entry,ep,exit,xp,why,held,ret,spy,alpha,open
PWR,extension,2026-07-01,2026-07-01,709.0700073242188,2026-07-02,668.3099975585938,MA50,1,-0.057483759494269,-0.0013140694806872,-0.0561696900135818,False
CMI,extension,2026-07-02,2026-07-02,683.0,2026-07-20,639.4299926757812,MA50,18,-0.0637921044278458,-0.0036118079642196,-0.0601802964636262,False
RL,extension,2026-07-07,2026-07-07,399.0,2026-07-28,377.4599914550781,TIME,21,-0.0539849838218593,-0.0091613545623229,-0.0448236292595364,False
STLD,extension,2026-07-29,2026-07-29,265.19000244140625,2026-08-19,231.00999450683597,MA50,21,-0.1288887500279064,0.0542866975476579,-0.1831754475755643,False
CFG,extension,2026-08-07,2026-08-07,72.02999877929688,2026-08-28,69.70999908447266,TIME,21,-0.0322087981971622,-0.0050565581179772,-0.027152240079185,False
HWM,extension,2026-08-10,2026-08-10,285.0,2026-08-24,263.2900085449219,MA50,14,-0.0761754086143091,-0.0123669951120082,-0.0638084135023009,False
CFG,extension,2026-08-12,2026-08-12,73.44000244140625,2026-09-02,69.77999877929688,TIME,21,-0.0498366495157661,-0.0094888182144856,-0.0403478313012805,False
STLD,extension,2026-08-13,2026-08-13,264.8500061035156,2026-08-19,231.00999450683597,MA50,6,-0.1277704769372497,-0.0113385191402978,-0.1164319577969519,False
HWM,extension,2026-08-18,2026-08-18,286.3999938964844,2026-08-24,263.2900085449219,MA50,6,-0.0806912913549687,-0.0051860596007555,-0.0755052317542132,False
STLD,extension,2026-08-19,2026-08-19,252.55999755859372,2026-08-20,219.0,MA50,1,-0.1328793074240026,-0.0083998933674405,-0.1244794140565621,False
GM,extension,2026-08-20,2026-08-20,84.19999694824219,2026-09-03,87.22000122070312,STILL-OPEN,14,0.0358670354147083,0.0138604873624568,0.0220065480522515,True
ANET,extension,2026-08-21,2026-08-21,183.7700042724609,2026-08-28,195.3800048828125,TRAILING,7,0.0631767989357956,0.004740642822048,0.0584361561137476,False
CVNA,extension,2026-08-24,2026-08-24,70.0,2026-08-31,73.45999908447266,TRAILING,7,0.0494285583496094,0.0046891393600545,0.0447394189895549,False
HOOD,extension,2026-08-25,2026-08-25,103.1999969482422,2026-08-28,104.26000213623048,TRAILING,3,0.0102713684043993,0.0044913926728005,0.0057799757315988,False
WDC,basket_crash,2026-08-25,2026-08-25,446.7200012207031,2026-09-03,441.5700073242188,STILL-OPEN,9,-0.0115284605175759,0.0094789335825178,-0.0210073941000937,True
TRGP,extension,2026-08-26,2026-08-26,284.260009765625,2026-09-03,293.5400085449219,STILL-OPEN,8,0.0326461635843478,0.0092548632807909,0.0233913003035568,True
IBKR,extension,2026-08-27,2026-08-27,96.87999725341795,2026-09-03,92.9499969482422,STILL-OPEN,7,-0.0405656525246972,0.0026844863049642,-0.0432501388296614,True
HOOD,extension,2026-08-29,2026-08-31,103.41999816894533,2026-09-03,124.72000122070312,STILL-OPEN,3,0.2059563278754119,0.0079786131472299,0.197977714728182,True
BKNG,extension,2026-09-01,2026-09-01,198.3999938964844,2026-09-03,195.1300048828125,STILL-OPEN,2,-0.0164817999711128,0.0149517618935144,-0.0314335618646273,True
ANET,extension,2026-09-02,2026-09-02,188.0,2026-09-03,191.44000244140625,STILL-OPEN,1,0.0182978853266289,0.0104684118965432,0.0078294734300856,True
TRGP,extension,2026-09-03,2026-09-03,293.9700012207031,2026-09-03,293.5400085449219,STILL-OPEN,0,-0.00146270937169,0.0,-0.00146270937169,True
