avgo_ma,gsr_scale,cagr,sharpe,maxdd,calmar,years
150,0.8,0.3626,1.745,-0.1593,2.276,16.9
150,0.9,0.3816,1.768,-0.1507,2.532,16.9
150,1.0,0.389,1.794,-0.1593,2.442,16.9
150,1.1,0.4183,1.81,-0.1577,2.653,16.9
150,1.2,0.4252,1.823,-0.1586,2.682,16.9
175,0.8,0.3561,1.702,-0.1593,2.236,16.9
175,0.9,0.3721,1.712,-0.1571,2.37,16.9
175,1.0,0.3801,1.739,-0.1593,2.386,16.9
175,1.1,0.4053,1.742,-0.1655,2.449,16.9
175,1.2,0.4132,1.759,-0.1655,2.497,16.9
200,0.8,0.3463,1.648,-0.1681,2.06,16.9
200,0.9,0.3601,1.648,-0.1711,2.105,16.9
200,1.0,0.3707,1.688,-0.1681,2.205,16.9
200,1.1,0.3908,1.667,-0.1859,2.103,16.9
200,1.2,0.3986,1.684,-0.1859,2.145,16.9
225,0.8,0.3473,1.646,-0.1733,2.004,16.9
225,0.9,0.361,1.645,-0.1812,1.992,16.9
225,1.0,0.3702,1.678,-0.1733,2.137,16.9
225,1.1,0.3916,1.662,-0.2005,1.953,16.9
225,1.2,0.3994,1.679,-0.2005,1.992,16.9
250,0.8,0.3466,1.637,-0.1733,2.001,16.9
250,0.9,0.3577,1.625,-0.1812,1.974,16.9
250,1.0,0.3641,1.646,-0.1737,2.097,16.9
250,1.1,0.3826,1.622,-0.2005,1.908,16.9
250,1.2,0.3914,1.642,-0.2005,1.952,16.9
