date,ry,baa,selected
2004-01-02,HIGH,MID,"GC=F, SI=F, LLY, WMT, CCJ"
2004-02-25,MID,MID,"GC=F, SI=F, LLY, WMT, CCJ"
2004-04-05,HIGH,MID,"BKNG, GS, TPR, DECK, STLD"
2004-04-30,HIGH,TIGHT,"GC=F, SI=F, LLY, WMT, CCJ"
2004-06-02,HIGH,MID,"DECK, TPR, RL, GS, BKNG"
2004-06-07,HIGH,TIGHT,"ISRG, COHR, BKNG, NVDA, EME"
2004-06-23,HIGH,MID,"DECK, TPR, RL, GS, BKNG"
2004-10-14,MID,MID,"NVDA, BKNG, NRG, SI=F, CMI"
2004-11-04,MID,TIGHT,"GC=F, SI=F, LLY, WMT, CCJ"
2004-11-08,HIGH,TIGHT,"COHR, CMI, ISRG, AAPL, PWR"
2004-11-12,MID,TIGHT,"GC=F, SI=F, LLY, WMT, CCJ"
2004-11-29,HIGH,TIGHT,"COHR, CCJ, CMI, PWR, TPR"
2004-12-06,MID,TIGHT,"AAPL, GRMN, STLD, DECK, CCJ"
2005-01-04,HIGH,TIGHT,"COHR, NVDA, TPR, PWR, CMI"
2005-01-18,MID,TIGHT,"GRMN, DECK, CCJ, STLD, ISRG"
2005-03-09,HIGH,TIGHT,"CCJ, AAPL, ISRG, COHR, NVDA"
2005-04-15,MID,TIGHT,"CCJ, TPR, STLD, WDC, SI=F"
2005-06-10,HIGH,TIGHT,"ISRG, BKNG, PWR, WDC, AAPL"
2005-06-22,MID,TIGHT,"RL, CCJ, WDC, TPR, NRG"
2005-07-05,HIGH,TIGHT,"ISRG, AAPL, PWR, DECK, WDC"
2005-08-30,MID,TIGHT,"CCJ, RL, WDC, TPR, NRG"
2005-09-23,HIGH,TIGHT,"PWR, ISRG, NVDA, AAPL, EME"
2007-08-16,HIGH,MID,"STLD, AAPL, DECK, CCJ, GS"
2007-08-23,HIGH,TIGHT,"CF, BKNG, GRMN, DECK, FSLR"
2007-09-05,HIGH,MID,"CF, STLD, IBKR, AAPL, DECK"
2007-09-20,HIGH,TIGHT,"CF, BKNG, GRMN, DECK, FSLR"
2007-11-07,HIGH,MID,"CF, STLD, IBKR, DECK, AAPL"
2007-11-19,MID,MID,"NVDA, BKNG, STLD, CMI, NRG"
2007-12-06,HIGH,MID,"CF, STLD, DECK, FSLR, AAPL"
2008-01-02,MID,MID,"CF, NVDA, BKNG, CMI, IBKR"
2008-01-10,MID,WIDE,"GC=F, SI=F, LLY, WMT, CCJ"
2008-06-12,HIGH,WIDE,"GC=F, SI=F, LLY, WMT, CCJ"
2008-06-24,MID,WIDE,"CMI, PWR, WDC, APH, CF"
2008-08-08,HIGH,WIDE,"FSLR, BKNG, CF, ETR, CCJ"
2008-08-14,MID,WIDE,"CMI, PWR, WDC, CF, APH"
2008-09-16,HIGH,WIDE,"DECK, BKNG, FSLR, CF, PWR"
2009-02-09,MID,WIDE,"PWR, WDC, CMI, CF, APH"
2009-02-24,HIGH,WIDE,"SI=F, WDC, PWR, NVDA, BKNG"
2009-03-18,MID,WIDE,"PWR, WDC, CF, CMI, APH"
2009-05-01,HIGH,WIDE,"SI=F, WDC, PWR, NVDA, GS"
2009-05-11,MID,WIDE,"CMI, WDC, PWR, APH, CF"
2009-06-04,HIGH,WIDE,"SI=F, WDC, PWR, NVDA, EME"
2009-08-19,MID,WIDE,"CMI, WDC, PWR, APH, CF"
2009-08-25,HIGH,WIDE,"AVGO, WDC, NVDA, BKNG, GS"
2009-09-02,MID,WIDE,"CMI, WDC, PWR, CF, APH"
2009-12-21,MID,MID,"NVDA, BKNG, CMI, STLD, CF"
2010-05-20,MID,WIDE,"WDC, EME, STLD, APH, COHR"
2010-10-08,LOW,WIDE,"GC=F, SI=F, LLY, WMT, CCJ"
2010-10-21,MID,WIDE,"WDC, CMI, APH, COHR, CF"
2010-11-04,LOW,WIDE,"EME, AAPL, CF, AVGO, WDC"
2010-11-09,MID,WIDE,"WDC, CMI, APH, COHR, CF"
2010-12-27,MID,MID,"CMI, AAPL, CIEN, PWR, RL"
2011-01-07,MID,WIDE,"CMI, WDC, COHR, CF, APH"
2011-01-19,MID,MID,"CMI, GM, AAPL, CIEN, PWR"
2011-06-03,MID,WIDE,"COHR, CMI, CF, WDC, APH"
2011-07-29,LOW,WIDE,"BKNG, EME, CF, WDC, AVGO"
2013-06-21,MID,WIDE,"CMI, COHR, WDC, CF, APH"
2013-07-01,LOW,WIDE,"WDC, TRGP, APH, SATS, GS"
2013-07-05,MID,WIDE,"CMI, COHR, WDC, TPR, APH"
2013-07-15,LOW,WIDE,"WDC, TRGP, APH, SATS, NRG"
2013-07-23,LOW,MID,"GC=F, SI=F, LLY, WMT, CCJ"
2013-08-07,LOW,WIDE,"WDC, TRGP, APH, SATS, NRG"
2013-08-15,MID,MID,"TSLA, AAPL, CF, SI=F, TRGP"
2013-09-26,LOW,WIDE,"WDC, TRGP, APH, SATS, NRG"
2013-10-10,MID,MID,"TSLA, CF, TRGP, AVGO, TPR"
2013-10-17,LOW,MID,"SATS, COHR, GRMN, BKNG, CIEN"
2013-11-01,MID,MID,"TSLA, CF, AVGO, AAPL, TRGP"
2014-02-27,LOW,MID,"IBKR, PWR, DECK, FSLR, BKNG"
2014-03-04,MID,MID,"TSLA, TRGP, AVGO, CF, NRG"
2014-03-13,LOW,MID,"IBKR, PWR, BKNG, FSLR, DECK"
2014-03-17,MID,MID,"TSLA, TRGP, AVGO, CF, NRG"
2014-04-23,LOW,MID,"IBKR, PWR, FSLR, BKNG, DECK"
2014-09-17,MID,MID,"TSLA, TRGP, AVGO, NRG, ETR"
2014-10-07,LOW,MID,"ANET, AVGO, STLD, IBKR, DECK"
2014-12-05,MID,MID,"TSLA, TRGP, CFG, AVGO, NRG"
2014-12-09,LOW,MID,"AVGO, ANET, IBKR, DECK, RL"
2014-12-23,MID,MID,"TSLA, TRGP, CFG, AVGO, NRG"
2014-12-31,LOW,MID,"AVGO, IBKR, DECK, RL, ANET"
2015-05-13,LOW,WIDE,"WDC, TRGP, APH, SATS, NRG"
2015-06-05,MID,MID,"TRGP, TSLA, AVGO, NRG, ETR"
2015-06-16,LOW,WIDE,"TRGP, WDC, SATS, APH, ANET"
2015-07-10,MID,WIDE,"COHR, CMI, APH, WDC, TPR"
2015-07-31,LOW,WIDE,"TRGP, WDC, APH, SATS, NRG"
2015-08-04,MID,WIDE,"COHR, CMI, WDC, TPR, APH"
2016-02-11,LOW,WIDE,"TRGP, WDC, APH, SATS, NRG"
2016-02-16,MID,WIDE,"LITE, COHR, TPR, CMI, FSLR"
2016-02-22,LOW,WIDE,"TRGP, WDC, APH, SATS, NRG"
2016-07-12,LOW,MID,"TSLA, STLD, IBKR, AVGO, GS"
2016-07-29,LOW,WIDE,"WDC, TRGP, NRG, ETR, SATS"
2016-08-15,LOW,MID,"LITE, TSLA, IBKR, STLD, AVGO"
2016-09-15,LOW,WIDE,"WDC, TRGP, NRG, ETR, SATS"
2016-09-19,LOW,MID,"LITE, TSLA, STLD, IBKR, AAPL"
2016-12-09,MID,MID,"TRGP, TSLA, AVGO, ETR, CFG"
2017-01-03,LOW,MID,"HWM, STLD, VST, IBKR, GS"
2017-03-08,MID,MID,"VST, TSLA, TRGP, AVGO, CF"
2017-03-17,LOW,MID,"HWM, LITE, IBKR, STLD, GS"
2017-05-04,MID,MID,"VST, TSLA, TRGP, CF, ETR"
2017-05-17,LOW,MID,"CFG, STLD, LITE, IBKR, GS"
2017-06-29,MID,MID,"CVNA, VST, TSLA, TRGP, ANET"
2017-08-02,LOW,TIGHT,"GC=F, SI=F, LLY, WMT, CCJ"
2017-08-07,LOW,MID,"CVNA, CFG, LITE, GS, ANET"
2017-09-21,LOW,TIGHT,"COHR, NVDA, TSLA, VST, PWR"
2017-10-06,MID,TIGHT,"CCJ, RL, WDC, TPR, CMI"
2017-10-10,LOW,TIGHT,"GM, COHR, DECK, GS, ANET"
2017-10-20,MID,TIGHT,"CCJ, RL, WDC, TPR, CMI"
2017-11-01,LOW,TIGHT,"GS, SYF, DECK, IBKR, STLD"
2017-11-10,MID,TIGHT,"CCJ, WDC, RL, CVNA, TPR"
2017-12-13,LOW,TIGHT,"COHR, ANET, NVDA, DECK, GM"
2017-12-18,MID,TIGHT,"CCJ, CVNA, RL, WDC, TPR"
2017-12-27,LOW,TIGHT,"COHR, NVDA, ANET, DECK, GM"
2018-01-09,MID,TIGHT,"CCJ, RL, WDC, CVNA, TPR"
2018-11-14,MID,MID,"CVNA, TSLA, VST, HWM, TRGP"
2019-05-30,LOW,MID,"CFG, ANET, IBKR, GS, LITE"
2019-12-09,LOW,TIGHT,"NVDA, COHR, ANET, GM, FSLR"
2020-01-30,LOW,MID,"CVNA, HWM, LITE, STLD, CFG"
2020-02-06,LOW,TIGHT,"CRWD, VRT, TSLA, ANET, NVDA"
2020-02-21,LOW,MID,"CVNA, HWM, LITE, STLD, CFG"
2020-03-09,LOW,WIDE,"WDC, TRGP, NRG, ETR, APH"
2020-07-16,LOW,MID,"CVNA, HWM, LITE, STLD, CFG"
2020-08-27,LOW,WIDE,"CVNA, CRWD, HWM, VRT, TRGP"
2020-08-31,LOW,MID,"CVNA, HWM, STLD, LITE, CFG"
2020-09-25,LOW,WIDE,"CVNA, CRWD, HWM, VRT, TRGP"
2020-10-06,LOW,MID,"CVNA, HWM, CFG, TSLA, STLD"
2021-03-30,LOW,TIGHT,"CRWD, VRT, TSLA, ANET, NVDA"
2022-02-17,LOW,MID,"HWM, CVNA, STLD, FOXA, FOX"
2022-03-22,LOW,TIGHT,"CF, ANET, TRGP, PM, CIEN"
2022-05-04,LOW,MID,"HOOD, HWM, CVNA, STLD, CFG"
2022-06-15,MID,MID,"CVNA, HWM, SYF, VRT, ETR"
2022-07-22,LOW,MID,"HWM, STLD, CVNA, CFG, TSLA"
2022-08-29,MID,MID,"CVNA, HWM, HOOD, PLTR, SYF"
2022-12-02,MID,TIGHT,"CIEN, CVNA, NRG, DECK, TSLA"
2023-03-13,MID,MID,"HWM, SYF, CVNA, VRT, ETR"
2023-04-14,MID,TIGHT,"DECK, NRG, CIEN, CVNA, TSLA"
2023-04-25,MID,MID,"HWM, CVNA, SYF, HOOD, PLTR"
2023-06-13,MID,TIGHT,"DECK, NRG, CIEN, CVNA, VST"
2023-07-06,HIGH,TIGHT,"CF, BKNG, DECK, GRMN, CMI"
2023-07-12,MID,TIGHT,"NRG, DECK, CIEN, CVNA, TSLA"
2023-08-10,HIGH,TIGHT,"CF, BKNG, DECK, GRMN, CMI"
2023-12-14,MID,TIGHT,"NRG, DECK, CVNA, CIEN, VST"
2024-01-04,HIGH,TIGHT,"CF, GRMN, CRWD, DECK, BKNG"
2024-08-23,MID,TIGHT,"NRG, DECK, CVNA, CIEN, VST"
2024-10-04,HIGH,TIGHT,"CF, CVNA, GRMN, DECK, AAPL"
2025-09-10,MID,TIGHT,"GEV, NRG, DECK, CIEN, CVNA"
2025-09-18,HIGH,TIGHT,"SNDK, SATS, CVNA, AVGO, GEV"
