t_date,ry,baa,rank,ticker,med_252d
2023-08-10,HIGH,TIGHT,1,MA,1.0781
2023-08-10,HIGH,TIGHT,2,TDG,0.4514
2023-08-10,HIGH,TIGHT,3,DLR,0.3934
2023-08-10,HIGH,TIGHT,4,GILD,0.3201
2023-08-10,HIGH,TIGHT,5,APH,0.2993
2023-08-10,HIGH,TIGHT,6,TMO,0.2936
2023-08-10,HIGH,TIGHT,7,UNP,0.2818
2023-08-10,HIGH,TIGHT,8,LIN,0.277
2023-08-10,HIGH,TIGHT,9,AME,0.2446
2023-08-10,HIGH,TIGHT,10,WST,0.2213
2024-01-04,HIGH,TIGHT,1,MA,1.0781
2024-01-04,HIGH,TIGHT,2,TDG,0.4514
2024-01-04,HIGH,TIGHT,3,DLR,0.3934
2024-01-04,HIGH,TIGHT,4,GILD,0.3201
2024-01-04,HIGH,TIGHT,5,BLK,0.3131
2024-01-04,HIGH,TIGHT,6,APH,0.2993
2024-01-04,HIGH,TIGHT,7,ETR,0.2942
2024-01-04,HIGH,TIGHT,8,TMO,0.2936
2024-01-04,HIGH,TIGHT,9,UNP,0.2818
2024-01-04,HIGH,TIGHT,10,LIN,0.277
2024-01-16,HIGH,TIGHT,1,MA,1.0781
2024-01-16,HIGH,TIGHT,2,TDG,0.4514
2024-01-16,HIGH,TIGHT,3,DLR,0.3934
2024-01-16,HIGH,TIGHT,4,GILD,0.3201
2024-01-16,HIGH,TIGHT,5,BLK,0.3131
2024-01-16,HIGH,TIGHT,6,APH,0.2993
2024-01-16,HIGH,TIGHT,7,ETR,0.2942
2024-01-16,HIGH,TIGHT,8,TMO,0.2936
2024-01-16,HIGH,TIGHT,9,UNP,0.2818
2024-01-16,HIGH,TIGHT,10,LIN,0.277
2024-02-02,HIGH,TIGHT,1,MA,1.0781
2024-02-02,HIGH,TIGHT,2,TDG,0.4514
2024-02-02,HIGH,TIGHT,3,DLR,0.3934
2024-02-02,HIGH,TIGHT,4,BLK,0.3131
2024-02-02,HIGH,TIGHT,5,APH,0.2993
2024-02-02,HIGH,TIGHT,6,ETR,0.2942
2024-02-02,HIGH,TIGHT,7,TMO,0.2936
2024-02-02,HIGH,TIGHT,8,UNP,0.2818
2024-02-02,HIGH,TIGHT,9,LIN,0.277
2024-02-02,HIGH,TIGHT,10,NEE,0.2748
2024-08-06,HIGH,TIGHT,1,GILD,0.317
2024-08-06,HIGH,TIGHT,2,BLK,0.3105
2024-08-06,HIGH,TIGHT,3,ETR,0.2925
2024-08-06,HIGH,TIGHT,4,TMO,0.2919
2024-08-06,HIGH,TIGHT,5,UNP,0.2802
2024-08-06,HIGH,TIGHT,6,LIN,0.2755
2024-08-06,HIGH,TIGHT,7,NEE,0.2706
2024-08-06,HIGH,TIGHT,8,LMT,0.2496
2024-08-06,HIGH,TIGHT,9,YUM,0.2332
2024-08-06,HIGH,TIGHT,10,MO,0.2036
2024-08-30,HIGH,TIGHT,1,MA,1.0391
2024-08-30,HIGH,TIGHT,2,TDG,0.4605
2024-08-30,HIGH,TIGHT,3,PM,0.3209
2024-08-30,HIGH,TIGHT,4,GILD,0.3143
2024-08-30,HIGH,TIGHT,5,BLK,0.3137
2024-08-30,HIGH,TIGHT,6,APH,0.3024
2024-08-30,HIGH,TIGHT,7,ETR,0.2937
2024-08-30,HIGH,TIGHT,8,TMO,0.2883
2024-08-30,HIGH,TIGHT,9,UNP,0.2774
2024-08-30,HIGH,TIGHT,10,LIN,0.2713
2024-10-04,HIGH,TIGHT,1,MA,0.9978
2024-10-04,HIGH,TIGHT,2,TDG,0.4803
2024-10-04,HIGH,TIGHT,3,DLR,0.3536
2024-10-04,HIGH,TIGHT,4,BLK,0.3177
2024-10-04,HIGH,TIGHT,5,GILD,0.3083
2024-10-04,HIGH,TIGHT,6,ETR,0.3007
2024-10-04,HIGH,TIGHT,7,LIN,0.271
2024-10-04,HIGH,TIGHT,8,NEE,0.2654
2024-10-04,HIGH,TIGHT,9,LMT,0.2608
2024-10-04,HIGH,TIGHT,10,AME,0.2241
2025-09-18,HIGH,TIGHT,1,MA,0.6072
2025-09-18,HIGH,TIGHT,2,KKR,0.4023
2025-09-18,HIGH,TIGHT,3,ETR,0.3664
2025-09-18,HIGH,TIGHT,4,APH,0.3252
2025-09-18,HIGH,TIGHT,5,BLK,0.3118
2025-09-18,HIGH,TIGHT,6,DLR,0.2885
2025-09-18,HIGH,TIGHT,7,WELL,0.2582
2025-09-18,HIGH,TIGHT,8,MO,0.2461
2025-09-18,HIGH,TIGHT,9,V,0.2415
2025-09-18,HIGH,TIGHT,10,LIN,0.2237
2025-10-29,HIGH,TIGHT,1,FTNT,0.5189
2025-10-29,HIGH,TIGHT,2,ETR,0.3723
2025-10-29,HIGH,TIGHT,3,TDG,0.3323
2025-10-29,HIGH,TIGHT,4,APH,0.3275
2025-10-29,HIGH,TIGHT,5,GILD,0.3271
2025-10-29,HIGH,TIGHT,6,DLR,0.2848
2025-10-29,HIGH,TIGHT,7,WELL,0.263
2025-10-29,HIGH,TIGHT,8,V,0.241
2025-10-29,HIGH,TIGHT,9,NEE,0.2242
2025-10-29,HIGH,TIGHT,10,LMT,0.2139
