sleeve_pct,K,cagr,sharpe,maxdd,calmar
0.2,1,0.3118,1.204,-0.3977,0.784
0.2,2,0.2984,1.221,-0.3511,0.85
0.2,3,0.2862,1.194,-0.3372,0.849
0.2,4,0.3026,1.261,-0.3222,0.939
0.2,5,0.2981,1.253,-0.312,0.955
0.25,1,0.306,1.142,-0.4219,0.725
0.25,2,0.2906,1.173,-0.3759,0.773
0.25,3,0.2759,1.144,-0.3794,0.727
0.25,4,0.2964,1.228,-0.3286,0.902
0.25,5,0.291,1.221,-0.3158,0.921
0.3,1,0.2992,1.077,-0.4749,0.63
0.3,2,0.2824,1.121,-0.4251,0.664
0.3,3,0.2652,1.09,-0.4236,0.626
0.3,4,0.2899,1.191,-0.3514,0.825
0.3,5,0.2836,1.185,-0.3346,0.847
0.35,1,0.2913,1.011,-0.5314,0.548
0.35,2,0.2737,1.066,-0.4769,0.574
0.35,3,0.2542,1.033,-0.4664,0.545
0.35,4,0.283,1.15,-0.3814,0.742
0.35,5,0.2759,1.145,-0.3578,0.771
0.4,1,0.2825,0.947,-0.586,0.482
0.4,2,0.2645,1.009,-0.5249,0.504
0.4,3,0.2429,0.975,-0.512,0.474
0.4,4,0.2759,1.106,-0.4139,0.667
0.4,5,0.268,1.102,-0.3871,0.692
0.5,1,0.2618,0.83,-0.6825,0.384
0.5,2,0.2447,0.896,-0.6202,0.395
0.5,3,0.2194,0.859,-0.5974,0.367
0.5,4,0.2607,1.013,-0.4939,0.528
0.5,5,0.2515,1.011,-0.4565,0.551
