bucket,n_entries,calendar_days,n,median_return,win_rate,annualized_median,early_stop_rate_21d,early_stop_n
miss_or_flat,493,15.0,492.0,-0.0025,0.4898,-0.0592,0.628,492
miss_or_flat,493,21.0,492.0,-0.0016,0.4939,-0.0276,0.628,492
miss_or_flat,493,30.0,492.0,-0.0021,0.4858,-0.0252,0.628,492
miss_or_flat,493,45.0,492.0,0.0092,0.5447,0.0775,0.628,492
miss_or_flat,493,60.0,491.0,0.0185,0.556,0.1184,0.628,492
miss_or_flat,493,90.0,489.0,0.0482,0.589,0.2107,0.628,492
beat_0_2,232,15.0,232.0,0.0051,0.569,0.1321,0.4526,232
beat_0_2,232,21.0,232.0,0.0017,0.5216,0.0298,0.4526,232
beat_0_2,232,30.0,232.0,0.0102,0.5647,0.1311,0.4526,232
beat_0_2,232,45.0,232.0,0.0231,0.5905,0.204,0.4526,232
beat_0_2,232,60.0,232.0,0.0299,0.625,0.1966,0.4526,232
beat_0_2,232,90.0,231.0,0.0594,0.6234,0.2637,0.4526,232
beat_2_5,350,15.0,350.0,0.0106,0.5857,0.2927,0.4657,350
beat_2_5,350,21.0,350.0,0.0113,0.58,0.2162,0.4657,350
beat_2_5,350,30.0,350.0,0.0105,0.58,0.1355,0.4657,350
beat_2_5,350,45.0,350.0,0.0182,0.5771,0.1577,0.4657,350
beat_2_5,350,60.0,350.0,0.0228,0.5914,0.147,0.4657,350
beat_2_5,350,90.0,346.0,0.0366,0.6185,0.157,0.4657,350
beat_5_10,405,15.0,401.0,0.0038,0.5262,0.0969,0.4564,401
beat_5_10,405,21.0,401.0,0.0038,0.5287,0.0674,0.4564,401
beat_5_10,405,30.0,401.0,0.0117,0.5486,0.1525,0.4564,401
beat_5_10,405,45.0,401.0,0.0156,0.5736,0.1335,0.4564,401
beat_5_10,405,60.0,400.0,0.0249,0.595,0.1615,0.4564,401
beat_5_10,405,90.0,392.0,0.0424,0.6173,0.1837,0.4564,401
beat_10_plus,860,15.0,856.0,0.008,0.5467,0.2152,0.4918,856
beat_10_plus,860,21.0,856.0,0.0085,0.5596,0.1578,0.4918,856
beat_10_plus,860,30.0,856.0,0.0164,0.5876,0.2197,0.4918,856
beat_10_plus,860,45.0,856.0,0.0213,0.5864,0.1862,0.4918,856
beat_10_plus,860,60.0,853.0,0.0358,0.6084,0.2389,0.4918,856
beat_10_plus,860,90.0,844.0,0.0486,0.6493,0.2122,0.4918,856
