bucket,n_entries,calendar_days,n,median_return,win_rate,annualized_median,early_stop_rate_21d,early_stop_n
solo_crash,953,15.0,949.0,0.0113,0.5469,0.315,0.9412,953
solo_crash,953,21.0,949.0,0.0113,0.5469,0.2161,0.9412,953
solo_crash,953,30.0,945.0,0.022,0.5534,0.3027,0.9412,953
solo_crash,953,45.0,940.0,0.0294,0.5766,0.2651,0.9412,953
solo_crash,953,60.0,934.0,0.0296,0.5535,0.1946,0.9412,953
solo_crash,953,90.0,928.0,0.0551,0.5981,0.2433,0.9412,953
basket_crash,299,15.0,299.0,0.0357,0.6388,1.3519,0.9799,299
basket_crash,299,21.0,299.0,0.0441,0.6656,1.1178,0.9799,299
basket_crash,299,30.0,298.0,0.0479,0.6409,0.7687,0.9799,299
basket_crash,299,45.0,298.0,0.0702,0.6376,0.735,0.9799,299
basket_crash,299,60.0,298.0,0.0479,0.6174,0.3293,0.9799,299
basket_crash,299,90.0,298.0,0.1022,0.7215,0.4842,0.9799,299
