date,ry,baa,rank,ticker,med_ret
2004-04-05,HIGH,MID,1,AXON,0.3013
2004-04-05,HIGH,MID,2,BIIB,0.2586
2004-04-05,HIGH,MID,3,MNST,0.2187
2004-04-05,HIGH,MID,4,TAP,0.1776
2004-04-05,HIGH,MID,5,ROST,0.134
2004-04-05,HIGH,MID,6,DVA,0.124
2004-04-05,HIGH,MID,7,WYNN,0.1214
2004-04-05,HIGH,MID,8,PNR,0.1181
2004-06-02,HIGH,MID,1,BIIB,0.2311
2004-06-02,HIGH,MID,2,MNST,0.1124
2004-06-02,HIGH,MID,3,WYNN,0.0839
2004-06-02,HIGH,MID,4,ORLY,0.0835
2004-06-02,HIGH,MID,5,VLO,0.0803
2004-06-02,HIGH,MID,6,DVA,0.0794
2004-06-02,HIGH,MID,7,AXON,0.0763
2004-06-02,HIGH,MID,8,SJM,0.076
2004-06-07,HIGH,TIGHT,1,MNST,0.059
2004-06-07,HIGH,TIGHT,2,AKAM,0.0481
2004-06-07,HIGH,TIGHT,3,COHR,0.0435
2004-06-07,HIGH,TIGHT,4,SPG,0.0368
2004-06-07,HIGH,TIGHT,5,FRT,0.0367
2004-06-07,HIGH,TIGHT,6,ADSK,0.0352
2004-06-07,HIGH,TIGHT,7,ISRG,0.0327
2004-06-07,HIGH,TIGHT,8,WMB,0.0318
2004-06-23,HIGH,MID,1,BIIB,0.2193
2004-06-23,HIGH,MID,2,MNST,0.0933
2004-06-23,HIGH,MID,3,WYNN,0.0804
2004-06-23,HIGH,MID,4,ORLY,0.0793
2004-06-23,HIGH,MID,5,VLO,0.0775
2004-06-23,HIGH,MID,6,DVA,0.0744
2004-06-23,HIGH,MID,7,SJM,0.0728
2004-06-23,HIGH,MID,8,HSY,0.0683
2004-10-14,MID,MID,1,AXON,0.3825
2004-10-14,MID,MID,2,NVDA,0.2243
2004-10-14,MID,MID,3,MOS,0.2109
2004-10-14,MID,MID,4,CI,0.2035
2004-10-14,MID,MID,5,EA,0.1582
2004-10-14,MID,MID,6,AMD,0.1581
2004-10-14,MID,MID,7,ROK,0.1543
2004-10-14,MID,MID,8,PAYX,0.1489
2004-11-08,HIGH,TIGHT,1,AKAM,0.051
2004-11-08,HIGH,TIGHT,2,COHR,0.0401
2004-11-08,HIGH,TIGHT,3,VRTX,0.0398
2004-11-08,HIGH,TIGHT,4,MNST,0.0391
2004-11-08,HIGH,TIGHT,5,EOG,0.0311
2004-11-08,HIGH,TIGHT,6,JBHT,0.0252
2004-11-08,HIGH,TIGHT,7,GILD,0.0247
2004-11-08,HIGH,TIGHT,8,TRMB,0.0247
2004-11-29,HIGH,TIGHT,1,MNST,0.0557
2004-11-29,HIGH,TIGHT,2,COHR,0.0447
2004-11-29,HIGH,TIGHT,3,ON,0.0427
2004-11-29,HIGH,TIGHT,4,AKAM,0.0417
2004-11-29,HIGH,TIGHT,5,VRTX,0.0386
2004-11-29,HIGH,TIGHT,6,EOG,0.0338
2004-11-29,HIGH,TIGHT,7,NUE,0.029
2004-11-29,HIGH,TIGHT,8,CTSH,0.0282
2004-12-06,MID,TIGHT,1,AAPL,0.1751
2004-12-06,MID,TIGHT,2,WMB,0.1001
2004-12-06,MID,TIGHT,3,MNST,0.0704
2004-12-06,MID,TIGHT,4,GRMN,0.07
2004-12-06,MID,TIGHT,5,BG,0.0645
2004-12-06,MID,TIGHT,6,MOS,0.063
2004-12-06,MID,TIGHT,7,STLD,0.0613
2004-12-06,MID,TIGHT,8,MSI,0.058
2005-01-04,HIGH,TIGHT,1,MPWR,0.07
2005-01-04,HIGH,TIGHT,2,ON,0.0461
2005-01-04,HIGH,TIGHT,3,AKAM,0.0415
2005-01-04,HIGH,TIGHT,4,COHR,0.04
2005-01-04,HIGH,TIGHT,5,MNST,0.0391
2005-01-04,HIGH,TIGHT,6,VRTX,0.0386
2005-01-04,HIGH,TIGHT,7,TRMB,0.0314
2005-01-04,HIGH,TIGHT,8,DPZ,0.0313
2005-01-18,MID,TIGHT,1,AXON,0.0936
2005-01-18,MID,TIGHT,2,MNST,0.0775
2005-01-18,MID,TIGHT,3,GRMN,0.0617
2005-01-18,MID,TIGHT,4,DECK,0.0582
2005-01-18,MID,TIGHT,5,STLD,0.0545
2005-01-18,MID,TIGHT,6,ISRG,0.0522
2005-01-18,MID,TIGHT,7,CCJ,0.051
2005-01-18,MID,TIGHT,8,GOOG,0.0493
2005-03-09,HIGH,TIGHT,1,MNST,0.0391
2005-03-09,HIGH,TIGHT,2,EOG,0.0288
2005-03-09,HIGH,TIGHT,3,AKAM,0.0268
2005-03-09,HIGH,TIGHT,4,VRTX,0.0244
2005-03-09,HIGH,TIGHT,5,CCJ,0.0239
2005-03-09,HIGH,TIGHT,6,VLO,0.0228
2005-03-09,HIGH,TIGHT,7,NUE,0.0219
2005-03-09,HIGH,TIGHT,8,STX,0.0207
2005-04-15,MID,TIGHT,1,TPL,0.0805
2005-04-15,MID,TIGHT,2,CCJ,0.0474
2005-04-15,MID,TIGHT,3,MNST,0.0402
2005-04-15,MID,TIGHT,4,FIX,0.0363
2005-04-15,MID,TIGHT,5,SBUX,0.0354
2005-04-15,MID,TIGHT,6,TTWO,0.0322
2005-04-15,MID,TIGHT,7,URI,0.0301
2005-04-15,MID,TIGHT,8,JBHT,0.03
2005-06-10,HIGH,TIGHT,1,MNST,0.0294
2005-06-10,HIGH,TIGHT,2,STZ,0.025
2005-06-10,HIGH,TIGHT,3,ISRG,0.0242
2005-06-10,HIGH,TIGHT,4,BXP,0.0223
2005-06-10,HIGH,TIGHT,5,AKAM,0.0198
2005-06-10,HIGH,TIGHT,6,FRT,0.018
2005-06-10,HIGH,TIGHT,7,ADSK,0.0162
2005-06-10,HIGH,TIGHT,8,GOOGL,0.0158
2005-06-22,MID,TIGHT,1,DXCM,0.3194
2005-06-22,MID,TIGHT,2,MPWR,0.1003
2005-06-22,MID,TIGHT,3,MNST,0.0836
2005-06-22,MID,TIGHT,4,TTWO,0.0704
2005-06-22,MID,TIGHT,5,EOG,0.062
2005-06-22,MID,TIGHT,6,RL,0.0562
2005-06-22,MID,TIGHT,7,CCJ,0.0479
2005-06-22,MID,TIGHT,8,URI,0.0469
2005-07-05,HIGH,TIGHT,1,MNST,0.032
2005-07-05,HIGH,TIGHT,2,STZ,0.0246
2005-07-05,HIGH,TIGHT,3,VRTX,0.0202
2005-07-05,HIGH,TIGHT,4,GOOGL,0.0201
2005-07-05,HIGH,TIGHT,5,GOOG,0.0201
2005-07-05,HIGH,TIGHT,6,BXP,0.0197
2005-07-05,HIGH,TIGHT,7,ISRG,0.0187
2005-07-05,HIGH,TIGHT,8,FRT,0.0168
2005-08-30,MID,TIGHT,1,DXCM,0.1121
2005-08-30,MID,TIGHT,2,MPWR,0.0888
2005-08-30,MID,TIGHT,3,MNST,0.0807
2005-08-30,MID,TIGHT,4,TTWO,0.0622
2005-08-30,MID,TIGHT,5,EOG,0.0504
2005-08-30,MID,TIGHT,6,RL,0.0488
2005-08-30,MID,TIGHT,7,CCJ,0.0462
2005-08-30,MID,TIGHT,8,URI,0.0433
2005-09-23,HIGH,TIGHT,1,VLO,0.0337
2005-09-23,HIGH,TIGHT,2,ADSK,0.0337
2005-09-23,HIGH,TIGHT,3,VRTX,0.0318
2005-09-23,HIGH,TIGHT,4,MNST,0.0316
2005-09-23,HIGH,TIGHT,5,DXCM,0.0315
2005-09-23,HIGH,TIGHT,6,EIX,0.0249
2005-09-23,HIGH,TIGHT,7,PWR,0.0241
2005-09-23,HIGH,TIGHT,8,COR,0.0233
2007-08-16,HIGH,MID,1,CBRE,0.1915
2007-08-16,HIGH,MID,2,WYNN,0.176
2007-08-16,HIGH,MID,3,GOOG,0.1353
2007-08-16,HIGH,MID,4,GOOGL,0.1353
2007-08-16,HIGH,MID,5,DPZ,0.0987
2007-08-16,HIGH,MID,6,CME,0.0956
2007-08-16,HIGH,MID,7,NUE,0.0816
2007-08-16,HIGH,MID,8,CRM,0.0799
2007-08-23,HIGH,TIGHT,1,CF,0.8294
2007-08-23,HIGH,TIGHT,2,ALGN,0.7723
2007-08-23,HIGH,TIGHT,3,ICE,0.7251
2007-08-23,HIGH,TIGHT,4,BKNG,0.6956
2007-08-23,HIGH,TIGHT,5,GRMN,0.5749
2007-08-23,HIGH,TIGHT,6,DECK,0.5724
2007-08-23,HIGH,TIGHT,7,CMG,0.4815
2007-08-23,HIGH,TIGHT,8,FSLR,0.4574
2007-09-05,HIGH,MID,1,CBRE,0.1872
2007-09-05,HIGH,MID,2,WYNN,0.1653
2007-09-05,HIGH,MID,3,DPZ,0.0948
2007-09-05,HIGH,MID,4,CME,0.0835
2007-09-05,HIGH,MID,5,GOOGL,0.0833
2007-09-05,HIGH,MID,6,GOOG,0.0833
2007-09-05,HIGH,MID,7,NUE,0.0761
2007-09-05,HIGH,MID,8,VLO,0.0733
2007-09-20,HIGH,TIGHT,1,CF,0.813
2007-09-20,HIGH,TIGHT,2,ALGN,0.7698
2007-09-20,HIGH,TIGHT,3,BKNG,0.6928
2007-09-20,HIGH,TIGHT,4,ICE,0.6753
2007-09-20,HIGH,TIGHT,5,GRMN,0.5714
2007-09-20,HIGH,TIGHT,6,DECK,0.5641
2007-09-20,HIGH,TIGHT,7,CMG,0.4769
2007-09-20,HIGH,TIGHT,8,FSLR,0.4236
2007-11-07,HIGH,MID,1,MPWR,0.1648
2007-11-07,HIGH,MID,2,CBRE,0.1502
2007-11-07,HIGH,MID,3,WYNN,0.145
2007-11-07,HIGH,MID,4,FCX,0.0883
2007-11-07,HIGH,MID,5,DPZ,0.0836
2007-11-07,HIGH,MID,6,BX,0.0826
2007-11-07,HIGH,MID,7,LULU,0.0811
2007-11-07,HIGH,MID,8,MA,0.0782
2007-11-19,MID,MID,1,AXON,0.2214
2007-11-19,MID,MID,2,MOS,0.1861
2007-11-19,MID,MID,3,CI,0.1816
2007-11-19,MID,MID,4,AMD,0.1348
2007-11-19,MID,MID,5,NVDA,0.1212
2007-11-19,MID,MID,6,IT,0.1174
2007-11-19,MID,MID,7,ADSK,0.1158
2007-11-19,MID,MID,8,GEN,0.1128
2007-12-06,HIGH,MID,1,WYNN,0.1329
2007-12-06,HIGH,MID,2,CBRE,0.1194
