ticker,top1,top3,top5,top8,top8_pct,top3_pct
REGN,0,16,25,39,25.657894736842106,10.526315789473683
AXON,11,25,27,34,22.36842105263158,16.447368421052634
CMG,0,16,26,32,21.052631578947366,10.526315789473683
TMUS,0,8,13,29,19.078947368421055,5.263157894736842
NFLX,25,25,26,28,18.421052631578945,16.447368421052634
MOS,1,11,21,27,17.763157894736842,7.236842105263158
MNST,6,16,23,24,15.789473684210526,10.526315789473683
LYB,8,12,19,20,13.157894736842104,7.894736842105263
MPWR,4,10,12,18,11.842105263157894,6.578947368421052
URI,9,12,15,18,11.842105263157894,7.894736842105263
SWKS,0,10,13,17,11.18421052631579,6.578947368421052
NDSN,4,8,12,17,11.18421052631579,5.263157894736842
GILD,0,5,9,17,11.18421052631579,3.289473684210526
CHTR,0,0,0,17,11.18421052631579,0.0
TSLA,2,7,10,17,11.18421052631579,4.605263157894736
VRTX,1,7,12,16,10.526315789473683,4.605263157894736
STLD,0,7,11,16,10.526315789473683,4.605263157894736
ULTA,3,14,15,16,10.526315789473683,9.210526315789473
UHS,0,0,9,16,10.526315789473683,0.0
TTWO,0,2,8,16,10.526315789473683,1.3157894736842104
CPAY,0,0,15,16,10.526315789473683,0.0
FFIV,0,1,10,15,9.868421052631579,0.6578947368421052
DXCM,6,9,11,15,9.868421052631579,5.921052631578947
STZ,5,14,14,14,9.210526315789473,9.210526315789473
DECK,0,2,8,14,9.210526315789473,1.3157894736842104
CMI,0,2,5,12,7.894736842105263,1.3157894736842104
NTRS,0,0,3,12,7.894736842105263,0.0
BLDR,0,4,9,12,7.894736842105263,2.631578947368421
EW,0,1,5,11,7.236842105263158,0.6578947368421052
CF,7,8,9,11,7.236842105263158,5.263157894736842
GRMN,0,6,9,11,7.236842105263158,3.9473684210526314
PHM,5,9,9,11,7.236842105263158,5.921052631578947
EOG,1,5,10,11,7.236842105263158,3.289473684210526
TPL,2,6,8,10,6.578947368421052,3.9473684210526314
COHR,2,8,10,10,6.578947368421052,5.263157894736842
CCJ,1,3,5,10,6.578947368421052,1.9736842105263157
SCHW,0,1,9,10,6.578947368421052,0.6578947368421052
UAL,1,2,6,10,6.578947368421052,1.3157894736842104
NVDA,0,3,6,10,6.578947368421052,1.9736842105263157
SBUX,0,2,8,10,6.578947368421052,1.3157894736842104
ESS,0,0,0,10,6.578947368421052,0.0
ORLY,0,0,2,10,6.578947368421052,0.0
MS,0,3,3,10,6.578947368421052,1.9736842105263157
WSM,2,5,6,10,6.578947368421052,3.289473684210526
TRMB,1,2,4,10,6.578947368421052,1.3157894736842104
ON,2,6,7,9,5.921052631578947,3.9473684210526314
MRVL,4,4,9,9,5.921052631578947,2.631578947368421
BKNG,0,4,8,9,5.921052631578947,2.631578947368421
WYNN,1,6,7,9,5.921052631578947,3.9473684210526314
KDP,7,8,9,9,5.921052631578947,5.263157894736842
WBD,0,6,8,9,5.921052631578947,3.9473684210526314
PKG,3,5,5,8,5.263157894736842,3.289473684210526
DPZ,0,1,4,7,4.605263157894736,0.6578947368421052
NRG,0,0,1,7,4.605263157894736,0.0
AKAM,1,4,6,7,4.605263157894736,2.631578947368421
WDC,0,2,2,7,4.605263157894736,1.3157894736842104
JBL,0,0,0,7,4.605263157894736,0.0
VLO,1,1,3,6,3.9473684210526314,0.6578947368421052
AMZN,1,3,5,6,3.9473684210526314,1.9736842105263157
ADM,0,0,2,6,3.9473684210526314,0.0
ALGN,1,6,6,6,3.9473684210526314,3.9473684210526314
LRCX,1,4,6,6,3.9473684210526314,2.631578947368421
A,0,0,3,6,3.9473684210526314,0.0
IBKR,0,0,0,6,3.9473684210526314,0.0
RL,0,0,1,6,3.9473684210526314,0.0
TER,0,0,0,6,3.9473684210526314,0.0
ISRG,0,1,1,6,3.9473684210526314,0.6578947368421052
BG,0,1,4,5,3.289473684210526,0.6578947368421052
NUE,0,0,0,5,3.289473684210526,0.0
PWR,0,0,2,5,3.289473684210526,0.0
AVGO,0,3,4,5,3.289473684210526,1.9736842105263157
CBRE,2,4,4,5,3.289473684210526,2.631578947368421
DG,0,1,2,5,3.289473684210526,0.6578947368421052
TSCO,0,0,0,5,3.289473684210526,0.0
DLTR,0,0,0,5,3.289473684210526,0.0
DVA,0,0,1,5,3.289473684210526,0.0
PODD,0,3,4,5,3.289473684210526,1.9736842105263157
INCY,0,3,3,5,3.289473684210526,1.9736842105263157
MU,0,0,2,4,2.631578947368421,0.0
SMCI,0,0,2,4,2.631578947368421,0.0
EXR,0,0,2,4,2.631578947368421,0.0
GOOGL,0,0,3,4,2.631578947368421,0.0
ADSK,0,1,1,4,2.631578947368421,0.6578947368421052
BBY,0,1,1,4,2.631578947368421,0.6578947368421052
CI,0,1,3,4,2.631578947368421,0.6578947368421052
GOOG,0,1,2,4,2.631578947368421,0.6578947368421052
NXPI,0,3,3,4,2.631578947368421,1.9736842105263157
AAPL,1,1,2,4,2.631578947368421,0.6578947368421052
VTRS,0,1,4,4,2.631578947368421,0.6578947368421052
UNH,0,2,4,4,2.631578947368421,1.3157894736842104
ICE,0,1,4,4,2.631578947368421,0.6578947368421052
HUM,0,0,1,4,2.631578947368421,0.0
CRM,0,0,0,3,1.9736842105263157,0.0
SLB,0,1,2,3,1.9736842105263157,0.6578947368421052
FRT,0,0,1,3,1.9736842105263157,0.0
LUV,0,1,3,3,1.9736842105263157,0.6578947368421052
AMAT,0,0,1,3,1.9736842105263157,0.0
STT,0,0,0,3,1.9736842105263157,0.0
WAB,0,1,3,3,1.9736842105263157,0.6578947368421052
HAS,0,0,1,3,1.9736842105263157,0.0
CME,0,0,1,3,1.9736842105263157,0.0
IT,0,0,1,3,1.9736842105263157,0.0
APA,0,0,1,3,1.9736842105263157,0.0
BIIB,2,3,3,3,1.9736842105263157,1.9736842105263157
FTNT,0,2,3,3,1.9736842105263157,1.3157894736842104
HCA,0,1,1,3,1.9736842105263157,0.6578947368421052
ELV,0,1,2,3,1.9736842105263157,0.6578947368421052
MCHP,0,0,3,3,1.9736842105263157,0.0
HAL,3,3,3,3,1.9736842105263157,1.9736842105263157
JBHT,0,0,0,2,1.3157894736842104,0.0
KKR,0,0,0,2,1.3157894736842104,0.0
ALB,0,0,0,2,1.3157894736842104,0.0
BXP,0,0,1,2,1.3157894736842104,0.0
APO,0,0,1,2,1.3157894736842104,0.0
TDG,0,0,0,2,1.3157894736842104,0.0
FCX,0,1,2,2,1.3157894736842104,0.6578947368421052
EBAY,1,2,2,2,1.3157894736842104,1.3157894736842104
MPC,0,1,2,2,1.3157894736842104,0.6578947368421052
NEM,0,1,1,2,1.3157894736842104,0.6578947368421052
EXPE,1,1,2,2,1.3157894736842104,0.6578947368421052
AMD,0,0,1,2,1.3157894736842104,0.0
CMS,0,0,0,2,1.3157894736842104,0.0
IEX,0,0,0,2,1.3157894736842104,0.0
CAH,0,0,0,2,1.3157894736842104,0.0
EQIX,0,0,0,2,1.3157894736842104,0.0
FSLR,0,0,0,2,1.3157894736842104,0.0
STX,0,1,1,2,1.3157894736842104,0.6578947368421052
SATS,1,1,2,2,1.3157894736842104,0.6578947368421052
LULU,0,0,1,2,1.3157894736842104,0.0
DVN,0,1,1,2,1.3157894736842104,0.6578947368421052
TSN,0,1,1,2,1.3157894736842104,0.6578947368421052
WMB,0,1,1,2,1.3157894736842104,0.6578947368421052
SJM,0,0,0,2,1.3157894736842104,0.0
EME,0,0,2,2,1.3157894736842104,0.0
SBAC,0,0,0,2,1.3157894736842104,0.0
DHR,0,0,1,2,1.3157894736842104,0.0
ROST,0,0,1,1,0.6578947368421052,0.0
GM,0,1,1,1,0.6578947368421052,0.6578947368421052
OXY,0,0,1,1,0.6578947368421052,0.0
HSY,0,0,0,1,0.6578947368421052,0.0
COO,0,0,0,1,0.6578947368421052,0.0
PPL,0,0,0,1,0.6578947368421052,0.0
PAYX,0,0,0,1,0.6578947368421052,0.0
COR,0,0,0,1,0.6578947368421052,0.0
HPQ,0,0,0,1,0.6578947368421052,0.0
IDXX,0,0,1,1,0.6578947368421052,0.0
EIX,0,0,0,1,0.6578947368421052,0.0
MSCI,0,1,1,1,0.6578947368421052,0.6578947368421052
TAP,0,0,1,1,0.6578947368421052,0.0
PNR,0,0,0,1,0.6578947368421052,0.0
ROK,0,0,0,1,0.6578947368421052,0.0
MA,0,0,0,1,0.6578947368421052,0.0
NTAP,0,1,1,1,0.6578947368421052,0.6578947368421052
