dataset,band,mode,cagr,sharpe,maxdd,calmar,years,trades_per_yr
NORMAL (AVGO 2009-2026),0.03,static,0.2749301646502653,1.3121745076409959,-0.24152830485748467,1.138293769802631,17.021218343600275,7.6
NORMAL (AVGO 2009-2026),0.03,symmetric,0.1827510755856363,0.9557302430283382,-0.2216532768446292,0.8244907460300624,17.021218343600275,34.0
NORMAL (AVGO 2009-2026),0.05,static,0.29018171164204887,1.3671635508724418,-0.2378927882105627,1.2198003723643964,17.021218343600275,2.9
NORMAL (AVGO 2009-2026),0.05,symmetric,0.23577914291726287,1.1813534027994028,-0.2213982344904898,1.064954937241791,17.021218343600275,19.2
NORMAL (AVGO 2009-2026),0.08,static,0.2979174875700479,1.3815298588394112,-0.22360553744411316,1.3323350171706185,17.021218343600275,1.3
NORMAL (AVGO 2009-2026),0.08,symmetric,0.26098184942650615,1.2775780256531943,-0.2258455908723792,1.1555764645145619,17.021218343600275,10.9
NORMAL (AVGO 2009-2026),0.15,static,0.310514135892084,1.394206621970522,-0.22585453911942355,1.3748412456209063,17.021218343600275,0.5
NORMAL (AVGO 2009-2026),0.15,symmetric,0.2941844802278233,1.409841801251833,-0.22982861531528687,1.28001676303123,17.021218343600275,4.2
STRESS (TXN 2000-2026),0.03,static,0.10651337959300822,0.6116277756193926,-0.5136084678970081,0.2073824445090086,25.95482546201232,7.9
STRESS (TXN 2000-2026),0.03,symmetric,0.06405801153340795,0.40581804685142564,-0.6157018017119269,0.10404064330378436,25.95482546201232,19.7
STRESS (TXN 2000-2026),0.05,static,0.11898534946910644,0.6699609794692125,-0.48736608422727856,0.2441395766341811,25.95482546201232,2.9
STRESS (TXN 2000-2026),0.05,symmetric,0.09166279321481707,0.529335503822214,-0.5722435520477229,0.16018143478735564,25.95482546201232,10.6
STRESS (TXN 2000-2026),0.08,static,0.1271027690931723,0.7089133062207256,-0.45276425811845367,0.28072615453651656,25.95482546201232,1.3
STRESS (TXN 2000-2026),0.08,symmetric,0.10557506086343826,0.5934074368848564,-0.552997025173199,0.19091433779480474,25.95482546201232,5.2
STRESS (TXN 2000-2026),0.15,static,0.13712980377646855,0.7575078769074465,-0.45353487043576035,0.3023577958729238,25.95482546201232,0.5
STRESS (TXN 2000-2026),0.15,symmetric,0.1134459523835547,0.6267851540961906,-0.5324610361839066,0.2130596319246384,25.95482546201232,1.8
