dataset,vol_window,band,static_calmar,symmetric_calmar,symmetric_cagr,symmetric_maxdd,beats_static,trades_per_yr
NORMAL (AVGO),10,0.03,1.306,0.345,0.0965,-0.2797,False,56.2
NORMAL (AVGO),10,0.05,1.306,0.675,0.1609,-0.2384,False,37.5
NORMAL (AVGO),10,0.08,1.306,0.95,0.2048,-0.2155,False,23.8
NORMAL (AVGO),15,0.03,1.306,0.664,0.148,-0.2229,False,41.4
NORMAL (AVGO),15,0.05,1.306,0.924,0.2024,-0.219,False,25.6
NORMAL (AVGO),15,0.08,1.306,1.194,0.2444,-0.2047,False,15.0
NORMAL (AVGO),21,0.03,1.306,0.888,0.1951,-0.2198,False,29.8
NORMAL (AVGO),21,0.05,1.306,1.107,0.2379,-0.2148,False,18.4
NORMAL (AVGO),21,0.08,1.306,1.255,0.2771,-0.2208,False,9.9
NORMAL (AVGO),30,0.03,1.306,0.98,0.2284,-0.233,False,22.1
NORMAL (AVGO),30,0.05,1.306,1.193,0.2665,-0.2234,False,12.1
NORMAL (AVGO),30,0.08,1.306,1.161,0.2813,-0.2423,False,7.2
NORMAL (AVGO),42,0.03,1.306,0.999,0.2461,-0.2464,False,16.1
NORMAL (AVGO),42,0.05,1.306,1.147,0.273,-0.2379,False,9.4
NORMAL (AVGO),42,0.08,1.306,1.214,0.2889,-0.2381,False,4.5
STRESS (TXN),10,0.03,0.302,0.051,0.0348,-0.6832,False,29.5
STRESS (TXN),10,0.05,0.302,0.123,0.0727,-0.5887,False,18.1
STRESS (TXN),10,0.08,0.302,0.175,0.0958,-0.5478,False,11.3
STRESS (TXN),15,0.03,0.302,0.097,0.0596,-0.6129,False,20.7
STRESS (TXN),15,0.05,0.302,0.158,0.0888,-0.5626,False,12.1
STRESS (TXN),15,0.08,0.302,0.219,0.1123,-0.5128,False,6.4
STRESS (TXN),21,0.03,0.302,0.139,0.0805,-0.5779,False,14.4
STRESS (TXN),21,0.05,0.302,0.19,0.1028,-0.5408,False,7.6
STRESS (TXN),21,0.08,0.302,0.217,0.1121,-0.5175,False,4.7
STRESS (TXN),30,0.03,0.302,0.182,0.0969,-0.5325,False,10.3
STRESS (TXN),30,0.05,0.302,0.218,0.1124,-0.5163,False,5.3
STRESS (TXN),30,0.08,0.302,0.252,0.1248,-0.4947,False,2.8
STRESS (TXN),42,0.03,0.302,0.207,0.1072,-0.5173,False,6.9
STRESS (TXN),42,0.05,0.302,0.246,0.1179,-0.4788,False,4.1
STRESS (TXN),42,0.08,0.302,0.266,0.1241,-0.4665,False,2.1
