transition,date,ry,baa,hist_dates,n_pos,fallback,realized
1,2004-01-08,HIGH,MID,130,7,False,0.40536721314748925
2,2004-03-02,MID,MID,4,462,True,0.00810099221410776
3,2004-04-12,HIGH,MID,167,8,False,0.01334481653034647
4,2004-05-13,HIGH,TIGHT,8,462,True,0.05100289521622936
5,2004-07-06,HIGH,MID,195,9,False,0.08669194390510992
6,2004-10-20,MID,MID,33,5,False,0.28270820108397454
7,2004-11-18,MID,TIGHT,6,462,True,0.013507662666484732
8,2004-12-03,HIGH,TIGHT,39,6,False,-0.03437655426318775
9,2004-12-10,MID,TIGHT,16,462,True,-0.0016803841939779796
10,2005-01-10,HIGH,TIGHT,45,5,False,0.03705882832828977
11,2005-01-24,MID,TIGHT,37,8,False,0.238721207488501
12,2005-03-15,HIGH,TIGHT,57,7,False,0.03682050595895814
13,2005-04-21,MID,TIGHT,68,9,False,0.18629802766216108
14,2005-06-16,HIGH,TIGHT,83,7,False,-0.016401887472524468
15,2005-06-28,MID,TIGHT,108,6,False,0.028774196206398983
16,2005-07-08,HIGH,TIGHT,91,7,False,0.25060131410558095
17,2005-09-06,MID,TIGHT,115,6,False,0.012080489149497886
18,2005-09-29,HIGH,TIGHT,134,8,False,0.54265446090511
19,2007-08-22,HIGH,MID,271,7,False,0.1905692614117498
20,2007-09-26,HIGH,TIGHT,641,6,False,-0.006923131853172726
21,2007-11-13,HIGH,MID,289,6,False,0.04049839488695994
22,2007-11-26,MID,MID,48,5,False,0.16123145966971575
23,2007-12-12,HIGH,MID,297,6,False,-0.12054710871528862
24,2008-01-08,MID,MID,61,5,False,-0.02075394298345945
25,2008-01-16,MID,WIDE,18,462,True,0.03097874172941517
26,2008-09-22,HIGH,WIDE,139,6,False,-0.18303695764728756
27,2009-02-13,MID,WIDE,182,8,False,-0.06955391736288064
28,2009-03-02,HIGH,WIDE,246,5,False,0.13633981890635805
29,2009-03-24,MID,WIDE,192,8,False,0.1612747359643787
30,2009-05-07,HIGH,WIDE,262,6,False,-0.09998564114676523
31,2009-05-15,MID,WIDE,224,8,False,0.1676859102289261
32,2009-06-10,HIGH,WIDE,273,5,False,0.015063646344110504
33,2009-09-08,MID,WIDE,243,8,False,0.19106391004229462
34,2009-12-28,MID,MID,67,4,False,0.15123687448879708
35,2010-02-18,MID,WIDE,322,7,False,-0.01015836027866912
36,2010-02-25,MID,MID,105,5,False,0.03291600045679566
37,2010-05-26,MID,WIDE,327,7,False,0.15426764559820172
38,2010-10-14,LOW,WIDE,4,462,True,0.02311620525784175
39,2010-11-15,MID,WIDE,436,7,False,0.10975981894813014
40,2010-12-29,MID,MID,170,4,False,0.22285616883794557
41,2011-06-09,MID,WIDE,477,6,False,-0.011164566939531162
42,2011-08-04,LOW,WIDE,18,462,True,0.4038898289509236
43,2013-06-27,MID,WIDE,514,7,False,0.007062338405919855
44,2013-07-19,LOW,WIDE,518,7,False,-0.06027178055891247
45,2013-07-29,LOW,MID,5,462,True,0.007197141776178029
46,2013-08-13,LOW,WIDE,524,7,False,0.008418192339059383
47,2013-08-28,MID,MID,284,4,False,0.10414057230022711
48,2013-10-02,LOW,WIDE,530,7,False,0.0024337316803815234
49,2013-10-16,MID,MID,305,5,False,0.042559873367223666
50,2013-10-23,LOW,MID,19,462,True,0.020517076429881653
51,2013-11-25,MID,MID,318,4,False,0.016889184909551158
52,2014-05-06,LOW,MID,44,11,False,0.24517392254986037
53,2014-09-23,MID,MID,425,4,False,-0.01149532527149244
54,2014-10-13,LOW,MID,146,7,False,0.2604679941098824
55,2014-12-30,MID,MID,444,4,False,-0.048548923640816644
56,2015-01-07,LOW,MID,196,6,False,0.21850533091618396
57,2015-05-19,LOW,WIDE,540,7,False,-0.010161754041384419
58,2015-07-16,MID,WIDE,539,8,False,-0.2526049172792917
59,2016-02-26,LOW,WIDE,577,6,False,0.153093618125691
60,2016-07-18,LOW,MID,292,5,False,0.01809100093080418
61,2016-08-04,LOW,WIDE,678,6,False,0.013884801564196358
62,2016-08-19,LOW,MID,307,5,False,0.002856298568891358
63,2016-12-15,MID,MID,453,4,False,0.08962038738922229
64,2017-01-09,LOW,MID,390,5,False,-0.011837627306049425
65,2017-03-14,MID,MID,469,4,False,0.018649832722353654
66,2017-03-23,LOW,MID,436,5,False,0.02908765265095914
67,2017-05-10,MID,MID,476,4,False,-0.0095656996100707
68,2017-05-23,LOW,MID,472,6,False,0.01952905165727814
69,2017-07-05,MID,MID,489,4,False,-0.002067351943848439
70,2017-08-11,LOW,MID,503,6,False,0.1003819048271819
71,2017-10-16,LOW,TIGHT,18,462,True,0.001687200010967782
72,2017-10-26,MID,TIGHT,136,6,False,0.037635629108836666
73,2017-11-07,LOW,TIGHT,25,7,False,0.03188110728260196
74,2017-12-04,MID,TIGHT,151,6,False,0.004155902165470238
75,2018-01-03,LOW,TIGHT,42,6,False,0.11508610945822162
76,2018-01-15,MID,TIGHT,167,5,False,0.12067300509586465
77,2018-11-20,MID,MID,504,5,False,-0.016806969230293456
78,2019-06-05,LOW,MID,539,5,False,0.21414532672279085
79,2019-12-13,LOW,TIGHT,50,6,False,0.2654491176905216
80,2020-02-05,LOW,MID,679,6,False,-0.004458132121181069
81,2020-02-19,LOW,TIGHT,90,6,False,-0.07172128738017058
82,2020-02-27,LOW,MID,686,6,False,-0.27545489942972745
83,2020-03-13,LOW,WIDE,689,6,False,0.40017999389533876
84,2020-07-22,LOW,MID,698,6,False,0.15756404877339514
85,2020-10-01,LOW,WIDE,781,6,False,0.025425481844301823
86,2020-10-12,LOW,MID,748,5,False,0.605982969378233
87,2021-04-06,LOW,TIGHT,97,5,False,0.3453180452984901
88,2022-02-23,LOW,MID,873,4,False,0.32105629218327447
89,2022-03-28,LOW,TIGHT,330,5,False,-0.069498125106769
90,2022-05-10,LOW,MID,899,4,False,-0.04781213919253491
91,2022-06-21,MID,MID,644,5,False,0.10371705803900277
92,2022-07-28,LOW,MID,926,4,False,0.02006162527793376
93,2022-09-02,MID,MID,671,5,False,-0.019479555711835905
94,2022-12-08,MID,TIGHT,396,6,False,-0.2429958814482036
95,2023-03-17,MID,MID,736,4,False,0.07359347842729336
96,2023-04-20,MID,TIGHT,466,4,False,0.00794570325547439
97,2023-05-01,MID,MID,760,4,False,0.16726769623672477
98,2023-06-19,MID,TIGHT,474,4,False,0.02917948186188246
99,2023-08-16,HIGH,TIGHT,681,5,False,0.03916881353223589
100,2023-12-27,MID,TIGHT,513,4,False,0.07605556834090788
101,2024-01-10,HIGH,TIGHT,779,6,False,0.1388941077822985
102,2024-08-29,MID,TIGHT,524,4,False,0.12531995899569437
103,2024-10-10,HIGH,TIGHT,949,6,False,-0.03527719946933405
104,2025-09-16,MID,TIGHT,552,5,False,-0.0233761966858963
105,2025-09-24,HIGH,TIGHT,1197,8,False,-0.057119900927250056
