rank,ticker,name,category,history_yr,start,cagr,n_matched,diversity,med_21d,win_21d,med_63d,win_63d,med_252d,win_252d
1,SNDK,SNDK,US Equity,1.5,2025-02-13,10.1807,130,THIN,0.2102,0.7541,1.2693,0.8861,31.9016,1.0
2,APP,APP,US Equity,5.3,2021-04-15,0.3628,492,THIN,0.0421,0.5981,0.1849,0.7035,2.2776,0.9797
3,HOOD,HOOD,US Equity,5.0,2021-07-29,0.2109,492,THIN,0.0535,0.5925,0.2144,0.7271,1.7558,0.9715
4,PLTR,PLTR,US Equity,5.8,2020-09-30,0.6161,492,THIN,0.0522,0.6229,0.2004,0.7301,1.6631,0.9207
5,CVNA,CVNA,US Equity,9.2,2017-04-28,0.4484,492,THIN,0.0374,0.5994,0.1803,0.7212,1.3865,0.9411
6,GEV,GEV,US Equity,2.3,2024-03-27,1.3781,339,THIN,0.0745,0.697,0.2383,0.8248,1.333,1.0
7,SATS,SATS,US Equity,18.5,2007-12-31,0.1022,468,THIN,0.0156,0.5322,0.1906,0.7661,1.1936,0.953
8,LITE,LITE,US Equity,11.0,2015-07-23,0.4245,492,THIN,0.0835,0.6229,0.2554,0.7198,1.1534,0.9878
9,HWM,HWM,US Equity,9.7,2016-11-01,0.3667,492,THIN,0.0432,0.7086,0.1693,0.969,0.958,1.0
10,VRT,VRT,US Equity,8.0,2018-08-02,0.5155,492,THIN,0.0672,0.6533,0.2431,0.7773,0.9264,0.9472
11,AVGO,AVGO,US Equity,17.0,2009-08-06,0.417,492,THIN,0.0356,0.6381,0.1786,0.795,0.7919,1.0
12,VST,VST,US Equity,9.8,2016-10-05,0.2933,492,THIN,0.0345,0.5953,0.1093,0.6106,0.6986,0.8354
13,IBKR,IBKR,US Equity,19.2,2007-05-04,0.1487,609,THIN,0.0288,0.6278,0.1161,0.7686,0.5872,0.9442
14,ANET,ANET,US Equity,12.1,2014-06-06,0.3929,492,THIN,0.0501,0.6892,0.1477,0.7684,0.5521,0.9878
15,DECK,DECK,US Equity,26.5,2000-01-03,0.2779,1140,ROBUST,0.0398,0.6159,0.1034,0.6908,0.5286,0.6553
16,NRG,NRG,US Equity,22.6,2003-12-02,0.1322,1140,ROBUST,0.0342,0.6363,0.0949,0.7149,0.5245,0.8632
17,TRGP,TRGP,US Equity,15.6,2010-12-07,0.2148,492,THIN,0.0314,0.6547,0.1201,0.7611,0.517,0.8679
18,PWR,PWR,US Equity,26.5,2000-01-03,0.1449,1140,ROBUST,0.0374,0.6669,0.1363,0.7557,0.5095,0.9053
19,STLD,STLD,US Equity,26.5,2000-01-03,0.1912,1140,ROBUST,0.0385,0.6319,0.097,0.7059,0.4934,0.907
20,BKNG,BKNG,US Equity,26.5,2000-01-03,0.1132,1140,ROBUST,0.0272,0.6195,0.0831,0.7142,0.4913,0.8105
21,CF,CF,US Equity,20.9,2005-08-11,0.2085,1047,ROBUST,0.0355,0.5958,0.0999,0.6415,0.4869,0.8548
22,DASH,DASH,US Equity,5.6,2020-12-09,0.0212,492,THIN,0.0316,0.587,0.1134,0.6534,0.4836,0.7398
23,FOXA,FOXA,US Equity,7.4,2019-03-12,0.0824,492,THIN,0.0256,0.6506,0.086,0.6637,0.466,0.9533
24,EXV1.DE,iSh STOXX 600 Materials,UCITS ETF,18.7,2008-01-02,0.0306,492,THIN,0.0413,0.7497,0.0938,0.9044,0.4632,1.0
25,GM,GM,US Equity,15.7,2010-11-18,0.0817,492,THIN,0.0303,0.6285,0.0836,0.6932,0.4548,0.9878
26,CMI,CMI,US Equity,26.5,2000-01-03,0.1893,1140,ROBUST,0.0345,0.6567,0.1174,0.7971,0.4532,0.9605
27,CEG,CEG,US Equity,4.5,2022-01-19,0.5093,492,THIN,0.0186,0.5691,0.0801,0.6254,0.452,0.8171
28,CFG,CFG,US Equity,11.8,2014-09-24,0.1396,492,THIN,0.0353,0.6257,0.1105,0.795,0.4437,1.0
29,TPR,TPR,US Equity,25.8,2000-10-06,0.1971,1140,ROBUST,0.022,0.5765,0.0619,0.638,0.4361,0.7368
30,NVDA,NVDA,US Equity,26.5,2000-01-03,0.3419,1140,ROBUST,0.0355,0.6246,0.1506,0.7315,0.4345,0.8789
31,WDC,WDC,US Equity,26.5,2000-01-03,0.2186,1140,ROBUST,0.052,0.6574,0.1431,0.6508,0.4324,0.8053
32,GS,GS,US Equity,26.5,2000-01-03,0.1126,1140,ROBUST,0.0319,0.6829,0.0972,0.7685,0.4287,0.8263
33,RL,RL,US Equity,26.5,2000-01-03,0.1373,1140,ROBUST,0.0232,0.6312,0.0875,0.7164,0.4267,0.7737
34,PHAG.L,WisdomTree Phys Silver,UCITS ETF,18.6,2008-01-02,0.0745,493,THIN,0.0224,0.6155,0.0694,0.7084,0.4237,1.0
35,CIEN,CIEN,US Equity,26.5,2000-01-03,0.0279,1140,ROBUST,0.0506,0.6232,0.1403,0.6742,0.4166,0.8167
36,COHR,COHR,US Equity,26.5,2000-01-03,0.2058,1140,ROBUST,0.0352,0.5845,0.1498,0.7081,0.4155,0.9167
37,FOX,FOX,US Equity,7.4,2019-03-13,0.0628,492,THIN,0.0241,0.6588,0.073,0.6401,0.4096,0.9268
38,EME,EME,US Equity,26.5,2000-01-03,0.2209,1140,ROBUST,0.026,0.621,0.1094,0.7172,0.4042,0.7904
39,GRMN,GRMN,US Equity,25.6,2000-12-08,0.172,1140,ROBUST,0.0393,0.6815,0.1174,0.7285,0.4012,0.8281
40,FSLR,FSLR,US Equity,19.7,2006-11-17,0.1234,730,MODERATE,0.0388,0.5936,0.1863,0.6736,0.3895,0.7959
41,PM,PM,US Equity,18.4,2008-03-17,0.1259,492,THIN,0.022,0.6257,0.0787,0.7139,0.3752,0.9817
42,FIX,FIX,US Equity,26.5,2000-01-03,0.2402,1140,ROBUST,0.035,0.6399,0.1135,0.7368,0.374,0.7904
43,ISRG,ISRG,US Equity,26.1,2000-06-16,0.2214,1140,ROBUST,0.0245,0.5911,0.0898,0.6312,0.3712,0.7833
44,APH,APH,US Equity,26.5,2000-01-03,0.218,1140,ROBUST,0.032,0.6611,0.0964,0.7353,0.3704,0.9763
45,DELL,DELL,US Equity,9.9,2016-08-17,0.4486,492,THIN,0.0484,0.616,0.1472,0.6711,0.3637,0.7683
46,CRWD,CRWD,US Equity,7.1,2019-06-12,0.1955,492,THIN,0.0444,0.6243,0.0799,0.6268,0.3624,0.9085
47,SYF,SYF,US Equity,12.0,2014-07-31,0.1298,492,THIN,0.0231,0.587,0.0802,0.7242,0.361,0.9959
48,4GLD.DE,Xetra-Gold,UCITS ETF,16.8,2009-11-13,0.0993,491,THIN,0.0172,0.6805,0.0633,0.8162,0.3603,1.0
49,AAPL,AAPL,US Equity,26.5,2000-01-03,0.25,1140,ROBUST,0.0327,0.6363,0.0886,0.7021,0.3593,0.9368
50,ETR,ETR,US Equity,26.5,2000-01-03,0.1257,1140,ROBUST,0.0194,0.6574,0.0781,0.8273,0.359,0.9509
51,PPFB.DE,WisdomTree Phys Gold,UCITS ETF,5.1,2021-07-16,0.1859,491,THIN,0.0171,0.6777,0.0639,0.8132,0.3581,1.0
52,TSLA,TSLA,US Equity,16.1,2010-06-29,0.3907,492,THIN,0.0019,0.5055,0.0104,0.5133,0.3516,0.8841
53,SI_F,Silver (futures),Commodity,25.8,2000-08-30,0.1029,1140,ROBUST,0.023,0.6195,0.0707,0.7021,0.3509,0.9412
54,FTNT,FTNT,US Equity,16.7,2009-11-18,0.3151,492,THIN,0.0088,0.5608,0.0328,0.5855,0.3479,0.7215
55,FCX,FCX,US Equity,26.5,2000-01-03,0.0951,1140,ROBUST,0.0329,0.5911,0.076,0.6674,0.3405,0.7851
56,GC_F,Gold (futures),Commodity,25.8,2000-08-30,0.1126,1140,ROBUST,0.0194,0.6618,0.0686,0.8054,0.3393,0.9816
57,WELL,WELL,US Equity,26.5,2000-01-03,0.1728,1140,ROBUST,0.0208,0.6582,0.0829,0.7873,0.3374,0.9482
58,MPWR,MPWR,US Equity,21.7,2004-11-19,0.2645,1118,ROBUST,0.032,0.5881,0.1516,0.7615,0.3342,0.7156
59,GILD,GILD,US Equity,26.5,2000-01-03,0.1931,1140,ROBUST,0.0166,0.6181,0.0756,0.7232,0.3294,0.9789
60,MS,MS,US Equity,26.5,2000-01-03,0.0735,1140,ROBUST,0.0238,0.6246,0.0694,0.6953,0.3237,0.7658
61,CBRE,CBRE,US Equity,22.1,2004-06-10,0.1547,1129,ROBUST,0.0315,0.64,0.0591,0.6213,0.3228,0.736
62,EXPE,EXPE,US Equity,21.0,2005-07-21,0.1148,1062,ROBUST,0.0257,0.6136,0.1044,0.6458,0.3171,0.7495
63,KMI,KMI,US Equity,15.4,2011-02-11,0.0489,492,THIN,0.0186,0.663,0.0541,0.7522,0.3168,0.9715
64,CSX,CSX,US Equity,26.5,2000-01-03,0.1563,1140,ROBUST,0.0233,0.621,0.0606,0.7089,0.316,0.8649
65,INCY,INCY,US Equity,26.5,2000-01-03,0.0373,1140,ROBUST,0.0114,0.5372,0.0644,0.6199,0.3157,0.8395
66,WMB,WMB,US Equity,26.5,2000-01-03,0.0829,1140,ROBUST,0.0223,0.6509,0.0693,0.7994,0.3075,0.9474
67,T,T,US Equity,26.5,2000-01-03,0.0519,1140,ROBUST,0.0184,0.6312,0.072,0.7828,0.307,0.8386
68,VTR,VTR,US Equity,26.5,2000-01-03,0.1813,1140,ROBUST,0.0191,0.6042,0.0784,0.7451,0.2975,0.9386
69,DE,DE,US Equity,26.5,2000-01-03,0.1567,1140,ROBUST,0.013,0.5714,0.0711,0.7255,0.2965,0.9158
70,WBD,WBD,US Equity,21.0,2005-07-08,0.0644,1071,ROBUST,0.0085,0.5411,0.0203,0.5545,0.2943,0.7591
71,PH,PH,US Equity,26.5,2000-01-03,0.1593,1140,ROBUST,0.0304,0.6742,0.0693,0.7164,0.2923,0.9439
72,GOOGL,GOOGL,US Equity,21.9,2004-08-19,0.2543,1121,ROBUST,0.0305,0.6216,0.0705,0.7001,0.2897,0.8608
